"d_username","field","value"
"Whynotttt44","d_age","28"
"Whynotttt44","d_city","Lowell"
"Whynotttt44","d_city","United States"
"Whynotttt44","d_orientation","Bisexual"
"Whynotttt44","d_gender","Woman"
"Whynotttt44","d_relationship","Single"
"Whynotttt44","d_bodytype","Thin"
"Whynotttt44","d_ethnicity","White"
"Whynotttt44","d_languages","English"
"Whynotttt44","d_education_phase","Working on"
"Whynotttt44","d_education_type","Post grad"
"Whynotttt44","d_smokes","Sometimes"
"Whynotttt44","d_drinks","Often"
"Whynotttt44","d_drugs","No"
"Whynotttt44","d_offspring_current","No kids"
"Whynotttt44","d_offspring_desires","might want kids"
"Whynotttt44","lf_single","single"
"Whynotttt44","lf_location","near me"
"Whynotttt44","lf_min_age","23"
"Whynotttt44","lf_max_age","32"
"Whynotttt44","lf_for","short & long term dating and new friends"
"Whynotttt44","p_wholesome","-74"
"Whynotttt44","q70","No"
"Whynotttt44","q77","Very often"
"Whynotttt44","q501","Yes"
"Whynotttt44","q553","No"
"Whynotttt44","q79","I smoke occasionally."
"Whynotttt44","q9688","Yes, but only soft stuff like marijuana"
"Whynotttt44","q358077","Yes"
"Whynotttt44","q403","No"
"Whynotttt44","q997","Both"
"Whynotttt44","q179268","No"
"Whynotttt44","q149","Passion"
"Whynotttt44","q403","No"
"Whynotttt44","q35660","Always"
"Whynotttt44","q20930","Higher than average"
