"d_username","field","value"
"Zlocesta","d_age","27"
"Zlocesta","d_city","San Francisco"
"Zlocesta","d_city","United States"
"Zlocesta","d_orientation","Asexual"
"Zlocesta","d_orientation","Demisexual"
"Zlocesta","d_orientation","Pansexual"
"Zlocesta","d_orientation","Queer"
"Zlocesta","d_relationship","Single"
"Zlocesta","d_bodytype","Thin"
"Zlocesta","d_ethnicity","White"
"Zlocesta","d_ethnicity","Other ethnicity"
"Zlocesta","d_languages","English"
"Zlocesta","d_education_phase","Attended"
"Zlocesta","d_education_type","University"
"Zlocesta","d_religion_type","Other religion"
"Zlocesta","d_smokes","Regularly"
"Zlocesta","d_drinks","Socially"
"Zlocesta","d_drugs","Sometimes"
"Zlocesta","d_offspring_current","No kids"
"Zlocesta","d_offspring_desires","Doesn't want kids"
"Zlocesta","lf_single","single"
"Zlocesta","lf_min_age","21"
"Zlocesta","lf_max_age","35"
"Zlocesta","lf_for","short-term dating and new friends"
"Zlocesta","p_inde","96"
"Zlocesta","p_sprit","68"
"Zlocesta","p_adven","56"
"Zlocesta","p_ambi","56"
"Zlocesta","p_drug","38"
"Zlocesta","p_sloppy","32"
"Zlocesta","p_artsy","22"
"Zlocesta","p_indie","22"
"Zlocesta","p_organized","-14"
"Zlocesta","p_polite","-28"
"Zlocesta","p_opti","-34"
"Zlocesta","p_oldfash","-48"
"Zlocesta","p_thrift","-64"
"Zlocesta","p_roman","-74"
"Zlocesta","p_sexdrive","-82"
"Zlocesta","p_friendly","-96"
"Zlocesta","p_giving","-96"
"Zlocesta","q1134","Absolutely not."
"Zlocesta","q50564","No, I have no sexual interests."
"Zlocesta","q30169","Gross!"
"Zlocesta","q12605","A few times a month or less"
"Zlocesta","q60852","No"
"Zlocesta","q63114","My sex drive is below average."
"Zlocesta","q29","avoid bondage all together"
"Zlocesta","q56606","Not interested."
"Zlocesta","q538","No"
"Zlocesta","q18682","No"
"Zlocesta","q83480","Completely shaven."
"Zlocesta","q1387","No"
"Zlocesta","q18966","I don't like porn"
"Zlocesta","q20889","It's hokey and overly sentimental."
"Zlocesta","q30","No"
"Zlocesta","q58812","No"
"Zlocesta","q15478","No"
"Zlocesta","q20062","No way."
"Zlocesta","q30903","No"
"Zlocesta","q1597","No"
"Zlocesta","q21","No"
"Zlocesta","q45006","No."
"Zlocesta","q11","Horrified"
"Zlocesta","q1132","No"
"Zlocesta","q13130","No"
"Zlocesta","q16317","I don't know"
"Zlocesta","q48347","No"
"Zlocesta","q82263","No."
"Zlocesta","q7077","Sleeping"
"Zlocesta","q35203","Yes"
"Zlocesta","q21527","No"
"Zlocesta","q57717","No."
"Zlocesta","q19854","No"
"Zlocesta","q39714","No."
"Zlocesta","q27","Telling someone you really care"
"Zlocesta","q1263","No, the past is the past."
"Zlocesta","q14913","No"
"Zlocesta","q69186","Yes."
"Zlocesta","q324","I disagree."
"Zlocesta","q275","No"
"Zlocesta","q60756","Maybe, it would depend upon the phrase."
"Zlocesta","q61133","Yes."
"Zlocesta","q637","Yes"
"Zlocesta","q1173","No"
"Zlocesta","q86366","Yes."
"Zlocesta","q17","No"
"Zlocesta","q24125","No"
"Zlocesta","q14","No"
"Zlocesta","q395","Yes"
"Zlocesta","q13","No"
"Zlocesta","q63068","More than four hours."
"Zlocesta","q18708","A belief system, no better or worse than Religion."
"Zlocesta","q60100","Yes"
"Zlocesta","q39210","Yes, I am confident I have."
"Zlocesta","q24740","Yes"
"Zlocesta","q210","Yes"
"Zlocesta","q6542","Yes"
"Zlocesta","q43509","Yes."
"Zlocesta","q986","Yes"
"Zlocesta","q20408","Yes, and I practice one/some of these."
"Zlocesta","q6347","Yes"
"Zlocesta","q61786","No"
"Zlocesta","q156913","No"
"Zlocesta","q44","False"
"Zlocesta","q411","Yes"
"Zlocesta","q763","Yes"
"Zlocesta","q156918","No"
"Zlocesta","q156915","No"
"Zlocesta","q156914","No"
"Zlocesta","q612","Yes, students should hear both sides"
"Zlocesta","q47764","Yes."
"Zlocesta","q18609","No, there's always fast food."
"Zlocesta","q67641","I have no family."
"Zlocesta","q26720","More than a $1000"
"Zlocesta","q22021","Yes, it's very important."
"Zlocesta","q17168","No"
"Zlocesta","q32657","No, we should maintain our own identities"
"Zlocesta","q179268","Yes"
"Zlocesta","q21754","They're gross/disgusting/insulting/other."
"Zlocesta","q74","Clothes"
"Zlocesta","q13100","No"
"Zlocesta","q12584","No"
"Zlocesta","q13100","No"
"Zlocesta","q234","A lot"
"Zlocesta","q997","Cats"
"Zlocesta","q126","Great"
"Zlocesta","q5417","No"
"Zlocesta","q16713","No"
"Zlocesta","q48325","Not important."
"Zlocesta","q41099","Not awful, but it could use a good cleaning."
"Zlocesta","q1122","Almost always"
"Zlocesta","q19815","Yes, I wouldn't be able to tolerate that."
"Zlocesta","q48328","Yes."
"Zlocesta","q94","No"
"Zlocesta","q401","No"
"Zlocesta","q442","Good"
"Zlocesta","q21793","Several times per week, or more."
"Zlocesta","q26582","Maybe (if it's still good)"
"Zlocesta","q40441","No."
"Zlocesta","q18955","No"
"Zlocesta","q80","I've done drugs in the past, but no longer."
"Zlocesta","q68185","No."
"Zlocesta","q53611","Frequently."
"Zlocesta","q62455","Yes."
"Zlocesta","q71315","No.  I can't sleep with music on."
"Zlocesta","q20418","Yes"
"Zlocesta","q212814","A little important"
"Zlocesta","q78","No"
"Zlocesta","q501","Yes"
"Zlocesta","q553","No"
"Zlocesta","q77","Rarely"
"Zlocesta","q1119","Yes"
"Zlocesta","q43261","I am my own person."
"Zlocesta","q1062","Usually daily. I skip some."
"Zlocesta","q9688","Yes, but only soft stuff like marijuana"
"Zlocesta","q15414","Yes, I have used psychedelic drugs."
"Zlocesta","q15746","No"
"Zlocesta","q15839","Yes"
"Zlocesta","q18834","Expression"
"Zlocesta","q34517","Yes"
"Zlocesta","q76","Yes"
"Zlocesta","q79","I smoke occasionally."
"Zlocesta","q87","No"
"Zlocesta","q365","A lot"
"Zlocesta","q1730","Yes"
"Zlocesta","q18644","Yes"
"Zlocesta","q44354","I love long camping trips."
"Zlocesta","q338","I'm more mature"
"Zlocesta","q445","Work"
"Zlocesta","q8155","Once every month or three."
"Zlocesta","q13136","Very Important"
"Zlocesta","q37693","Yes, I'd be playing with them."
"Zlocesta","q38196","I am an urban or city person."
"Zlocesta","q38223","Yes, I prefer to go with friends."
"Zlocesta","q83646","No."
"Zlocesta","q212813","Other"
"Zlocesta","q358077","Yes"
"Zlocesta","q81","Sometimes"
"Zlocesta","q318","Somewhat important"
"Zlocesta","q15030","Music"
"Zlocesta","q27164","No"
"Zlocesta","q32973","Yes, all the time."
"Zlocesta","q38051","Rarely."
"Zlocesta","q38173","Yes, often."
"Zlocesta","q50379","This is something I would like."
"Zlocesta","q441","No"
"Zlocesta","q1112","Yes"
"Zlocesta","q13006","Yes"
"Zlocesta","q17778","Not usually, but some beers I won't touch."
"Zlocesta","q21411","I love to argue!"
"Zlocesta","q23834","Yes"
"Zlocesta","q40319","Yes."
"Zlocesta","q221105","I'm a very active user."
"Zlocesta","q325","Yes"
"Zlocesta","q531","Dancing"
"Zlocesta","q6537","No"
"Zlocesta","q7060","Sometimes"
"Zlocesta","q17457","Yes"
"Zlocesta","q33602","Yes, almost always"
"Zlocesta","q35862","A cool room"
"Zlocesta","q42918","Somewhere in the middle."
"Zlocesta","q44639","Yes"
"Zlocesta","q54695","Somewhat clear."
"Zlocesta","q69912","Artist"
"Zlocesta","q82528","Yes, always."
"Zlocesta","q73","Big city"
"Zlocesta","q88","I'm mostly organized"
"Zlocesta","q161","More freedom"
"Zlocesta","q354","No"
"Zlocesta","q403","No"
"Zlocesta","q436","Yes"
"Zlocesta","q1588","Yes, I would love (or do own) a cat."
"Zlocesta","q6722","I don't watch or play sports."
"Zlocesta","q28831","It varies"
"Zlocesta","q31055","Yes"
"Zlocesta","q35778","Yes."
"Zlocesta","q38230","Yes."
"Zlocesta","q46780","Sometimes - I try to save energy but do forget."
"Zlocesta","q62254","Yes."
"Zlocesta","q158","Yes"
"Zlocesta","q220","No"
"Zlocesta","q335","No"
"Zlocesta","q512","Yes"
"Zlocesta","q18212","15-20%"
"Zlocesta","q27747","Yes, absolutely."
"Zlocesta","q30830","Maybe, depends on what and who with."
"Zlocesta","q42282","Yes."
"Zlocesta","q86544","Emotion, Intuition, Instinct."
"Zlocesta","q12796","Yes"
"Zlocesta","q23132","Not really, but I will on occasion"
"Zlocesta","q49","Carefree"
"Zlocesta","q1766","Yes"
"Zlocesta","q12970","Twice or more a day"
"Zlocesta","q21175","Yes"
"Zlocesta","q26573","Occasionally / I'd try it"
"Zlocesta","q124","No"
"Zlocesta","q27672","Critically important."
"Zlocesta","q6867","Yes"
"Zlocesta","q24282","Very inclined"
"Zlocesta","q25114","Music Festival"
"Zlocesta","q26052","Yes"
"Zlocesta","q35955","Very comfortable"
"Zlocesta","q42120","Yes, but only with family or close friends."
"Zlocesta","q46403","Yes."
"Zlocesta","q1454","Yes"
"Zlocesta","q21488","Yeah, when I have the time."
"Zlocesta","q21986","Yes, almost always."
"Zlocesta","q48","Weird"
"Zlocesta","q19737","Yes"
"Zlocesta","q426","Yes"
"Zlocesta","q434","Yes"
"Zlocesta","q2457","No"
"Zlocesta","q15744","Yes"
"Zlocesta","q19075","Yes"
"Zlocesta","q887","Not in most cases, no."
"Zlocesta","q763","Yes"
"Zlocesta","q12503","Very frequently."
"Zlocesta","q41850","Not important."
"Zlocesta","q48753","No."
"Zlocesta","q30207","Yes, absolutely."
"Zlocesta","q31840","Alone"
"Zlocesta","q67418","It's annoying."
"Zlocesta","q52682","Yes, even if they were slightly overweight."
"Zlocesta","q8054","No"
"Zlocesta","q20135","I'm indifferent / not sure"
"Zlocesta","q39576","Somewhat important."
"Zlocesta","q1185","No"
"Zlocesta","q13086","No"
"Zlocesta","q294","Having similar political beliefs"
"Zlocesta","q30607","Of course. Why wouldn't it be?"
"Zlocesta","q60843","No."
"Zlocesta","q66506","Somewhat important."
"Zlocesta","q82681","Someone attractive and smart."
"Zlocesta","q491","Not enough space"
"Zlocesta","q1815","No"
"Zlocesta","q19378","Words: Tell them how much you appreciate them"
"Zlocesta","q784","No"
"Zlocesta","q308","No"
"Zlocesta","q25228","No"
"Zlocesta","q146","Kissing in Paris"
"Zlocesta","q577","More than five"
"Zlocesta","q1128","No, but I don't think it's inherently wrong."
"Zlocesta","q54016","Yes."
"Zlocesta","q979","None"
"Zlocesta","q20519","Hardly. Politics are boring or personal."
"Zlocesta","q122","A lot"
"Zlocesta","q149","Passion"
"Zlocesta","q496","Go your separate ways"
"Zlocesta","q41953","A few months to a year"
"Zlocesta","q68401","No."
"Zlocesta","q75677","Jealousy."
"Zlocesta","q15280","No"
"Zlocesta","q22122","A few weeks"
"Zlocesta","q36045","No way."
"Zlocesta","q40194","Extremely important."
"Zlocesta","q49107","Philosophical beliefs."
"Zlocesta","q23543","No, it's not necessary"
"Zlocesta","q6499","flattered / proud"
"Zlocesta","q20021","Someone to go out with"
"Zlocesta","q31920","I prefer someone older"
"Zlocesta","q170849","No. Why spoil the mystery?"
"Zlocesta","q80041","No"
"Zlocesta","q366","Dating one person at a time"
"Zlocesta","q23293","Crazy and colorful"
"Zlocesta","q29389","Almost never, unless explicitly asked about them."
"Zlocesta","q66827","I think its corny, but I'll do it anyway!"
"Zlocesta","q6258","Yes"
"Zlocesta","q18692","No"
"Zlocesta","q18875","Important-ish"
"Zlocesta","q20778","pushes you hard to succeed"
"Zlocesta","q22206","No way!"
"Zlocesta","q153","A day at the beach"
"Zlocesta","q357","Coffee and chit-chat"
"Zlocesta","q527","No"
"Zlocesta","q546","Yes"
"Zlocesta","q35475","Low."
"Zlocesta","q41393","Turn-off. I find easily-confused types annoying."
"Zlocesta","q82301","Personal history or experiences."
"Zlocesta","q5764","Utterly disgusting"
"Zlocesta","q28754","At least 2 years"
"Zlocesta","q48557","No."
"Zlocesta","q60145","No."
"Zlocesta","q165644","Nothing to talk about"
"Zlocesta","q358014","Yes"
"Zlocesta","q416","Yes"
"Zlocesta","q24333","No"
"Zlocesta","q60500","No."
"Zlocesta","q106","No"
"Zlocesta","q1440","No"
"Zlocesta","q34094","Yes"
"Zlocesta","q46856","Complex"
"Zlocesta","q15372","No"
"Zlocesta","q19874","12+ months"
"Zlocesta","q24345","A lot!"
"Zlocesta","q31488","No, not at all."
"Zlocesta","q123","No"
"Zlocesta","q19365","Yes"
"Zlocesta","q23147","Telling stories"
"Zlocesta","q499","Yes"
"Zlocesta","q27239","Scary"
"Zlocesta","q33870","Yes"
"Zlocesta","q114","Yes"
"Zlocesta","q26557","Doesn't faze you one bit"
"Zlocesta","q55744","This would not be an important factor to me."
"Zlocesta","q358080","Discovering your shared interests"
"Zlocesta","q22021","Yes, it's very important."
"Zlocesta","q32657","No, we should maintain our own identities"
"Zlocesta","q9379","No"
"Zlocesta","q136","No"
"Zlocesta","q318","Somewhat important"
"Zlocesta","q30903","No"
"Zlocesta","q325","Yes"
"Zlocesta","q13006","Yes"
"Zlocesta","q16317","I don't know"
"Zlocesta","q403","No"
"Zlocesta","q71","No"
"Zlocesta","q46403","Yes."
"Zlocesta","q35203","Yes"
"Zlocesta","q35955","Very comfortable"
"Zlocesta","q17","No"
"Zlocesta","q1707","Annoyed. The world sucks."
"Zlocesta","q6111","Yes"
"Zlocesta","q43304","Usually"
"Zlocesta","q18547","Gross!"
"Zlocesta","q26299","Light (Blonde, Light Brown, Red)"
"Zlocesta","q4018","No"
"Zlocesta","q60308","A sexual fetish."
"Zlocesta","q20240","Poor"
"Zlocesta","q15742","Not at all"
"Zlocesta","q27243","Often"
"Zlocesta","q19125","Not at all"
"Zlocesta","q50483","Yes."
"Zlocesta","q6155","No"
"Zlocesta","q6350","Slender"
"Zlocesta","q26529","Yes"
"Zlocesta","q391","Yes"
"Zlocesta","q35660","Rarely"
"Zlocesta","q14835","On my left hand"
"Zlocesta","q30271","No"
"Zlocesta","q128","I have 1 or more big tattoos"
"Zlocesta","q60892","No."
"Zlocesta","q15704","It's okay."
"Zlocesta","q15698","They're okay, but keep the unruly ones at bay."
"Zlocesta","q6377","Yes"
"Zlocesta","q15749","No"
"Zlocesta","q54","Your soul"
"Zlocesta","q267","No"
"Zlocesta","q52728","Someone who is good with language(s)."
"Zlocesta","q63010","No, and I'm not planning on any future children."
"Zlocesta","q23696","Used to, but not any more"
"Zlocesta","q30723","That you are intelligent"
"Zlocesta","q8865","Yes, I have a fulltime job"
"Zlocesta","q29032","Visual / Spatial / Artistic"
"Zlocesta","q445141","Invisibility"
"Zlocesta","q48953","Historically or culturally important places."
"Zlocesta","q1830","Compassionate nature and a shoulder to support you"
"Zlocesta","q18594","Sometimes"
"Zlocesta","q439","No"
"Zlocesta","q614","something practical?"
"Zlocesta","q19898","I'm an information sponge"
"Zlocesta","q53540","Yes."
"Zlocesta","q54052","Somewhat content."
"Zlocesta","q416236","Yay!"
"Zlocesta","q15401","Yes"
"Zlocesta","q17582","Okay"
"Zlocesta","q20725","All the time"
"Zlocesta","q50755","Yes."
"Zlocesta","q274","College"
"Zlocesta","q854","Yes"
"Zlocesta","q15743","A little hesitant"
"Zlocesta","q20930","Higher than average"
"Zlocesta","q25561","Why would it?"
"Zlocesta","q28903","An important interview"
"Zlocesta","q55264","No."
"Zlocesta","q134","No"
"Zlocesta","q382","No"
"Zlocesta","q18504","Occasionally"
"Zlocesta","q19392","Yes"
"Zlocesta","q86909","It really depends on the circumstances."
"Zlocesta","q46","Interesting"
"Zlocesta","q1052","Sometimes"
"Zlocesta","q1099","Yes"
"Zlocesta","q9418","Important"
"Zlocesta","q15907","No"
"Zlocesta","q27477","Yes"
"Zlocesta","q34255","I Like It"
"Zlocesta","q38767","Yes"
"Zlocesta","q57","No"
"Zlocesta","q16820","Just another corporation"
"Zlocesta","q19265","Nice, but not mandatory"
"Zlocesta","q23779","Rarely"
"Zlocesta","q45428","Always."
"Zlocesta","q59457","Yes."
"Zlocesta","q61281","Occasionally."
"Zlocesta","q179","Neither; they're the same on average"
"Zlocesta","q265","Einstein"
"Zlocesta","q301","No"
"Zlocesta","q477","A mile"
"Zlocesta","q1172","No"
"Zlocesta","q15409","No"
"Zlocesta","q178","The Sun"
"Zlocesta","q898","Yes"
"Zlocesta","q30416","The grammar"
"Zlocesta","q48981","Racial or cultural stereotyping."
"Zlocesta","q105","No"
"Zlocesta","q8672","Where"
"Zlocesta","q16862","Depends"
"Zlocesta","q20530","Yes"
"Zlocesta","q42010","Yes, I support the little guys whenever I can."
"Zlocesta","q358084","Yes"
"Zlocesta","q32855","I shave consistently."
"Zlocesta","q46176","Yes."
"Zlocesta","q55980","No."
"Zlocesta","q27794","Yes"
"Zlocesta","q36790","Yes.  Always."
"Zlocesta","q142","Yes"
