"d_username","field","value"
"abrego","d_age","26"
"abrego","d_city","Arcata"
"abrego","d_city","United States"
"abrego","d_orientation","Bisexual"
"abrego","d_gender","Woman"
"abrego","d_relationship","Single"
"abrego","d_bodytype","Average build"
"abrego","d_ethnicity","White"
"abrego","d_languages","English"
"abrego","d_religion_seriosity","laughing about it"
"abrego","d_smokes","Sometimes"
"abrego","d_drinks","Often"
"abrego","lf_single","single"
"abrego","lf_location","near me"
"abrego","lf_min_age","25"
"abrego","lf_max_age","35"
"abrego","lf_for","short & long term dating and new friends"
"abrego","p_playful","80"
"abrego","p_trusting","52"
"abrego","p_math","30"
"abrego","p_organized","18"
"abrego","p_oldfash","-42"
"abrego","p_wholesome","-62"
"abrego","p_energetic","-92"
"abrego","q455","Yes"
"abrego","q85835","Starving children."
"abrego","q175","Yes"
"abrego","q136","No"
"abrego","q17","Yes"
"abrego","q29829","Always"
"abrego","q594","No, some subjects should not be joked about."
"abrego","q838","Yes"
"abrego","q612","No, creationism has no place in schools"
"abrego","q70","No"
"abrego","q39185","book burning"
"abrego","q154","No, it wouldn't."
"abrego","q18797","No, I'd trust them and that would be invasive."
"abrego","q24125","No"
"abrego","q18530","No"
"abrego","q1597","No"
"abrego","q35","Love"
"abrego","q63114","My sex drive is higher than average."
"abrego","q12605","About every other day"
"abrego","q1028","I enjoy both equally"
"abrego","q12964","Yes"
"abrego","q24375","3-5 dates"
"abrego","q17","Yes"
"abrego","q24125","No"
"abrego","q60100","Yes"
"abrego","q41","Not very important"
"abrego","q156913","No"
"abrego","q15889","Science"
"abrego","q612","No, creationism has no place in schools"
"abrego","q179268","Yes"
"abrego","q9688","Yes"
"abrego","q80","I do drugs occasionally."
"abrego","q77","Very often"
"abrego","q221106","Sometimes"
"abrego","q79","I smoke regularly."
"abrego","q53611","Frequently."
"abrego","q403","Yes"
"abrego","q501","Yes"
"abrego","q56","Yes"
"abrego","q358077","Yes"
"abrego","q20418","Sometimes"
"abrego","q43261","I am my own person."
"abrego","q13006","Yes"
"abrego","q49","Carefree"
"abrego","q212814","Somewhat important"
"abrego","q87","No"
"abrego","q325","Yes"
"abrego","q553","Yes"
"abrego","q212813","Liberal / Left-wing"
"abrego","q48","Weird"
"abrego","q40441","Maybe a little bit."
"abrego","q158","Yes"
"abrego","q997","Both"
"abrego","q18834","Knowledge"
"abrego","q44639","Yes"
"abrego","q12970","Twice or more a day"
"abrego","q16713","Yes"
"abrego","q1766","Yes"
"abrego","q41953","Several years"
"abrego","q149","Dedication"
"abrego","q170849","Yes. Knowledge is power!"
"abrego","q31581","Sure, no problem."
"abrego","q784","Yes"
"abrego","q23543","No, it's not necessary"
"abrego","q41850","Very important."
"abrego","q18875","Important-ish"
"abrego","q19378","Actions: Do something nice (like a date or errand)"
"abrego","q308","Yes"
"abrego","q1440","No"
"abrego","q40194","Extremely important."
"abrego","q20519","Sure. I'm interested in sharing our beliefs."
"abrego","q31840","Touching my partner"
"abrego","q979","1-2"
"abrego","q16053","Totally willing!"
"abrego","q20021","Someone to go out with"
"abrego","q52682","Yes, but only if they were obese."
"abrego","q24345","A lot!"
"abrego","q358014","Yes"
"abrego","q20135","I like to just let it happen"
"abrego","q55744","This would not be an important factor to me."
"abrego","q165644","Nothing to talk about"
"abrego","q48753","Yes."
"abrego","q66506","Very important."
"abrego","q358080","Discovering your shared interests"
"abrego","q123","No"
"abrego","q136","No"
"abrego","q403","Yes"
"abrego","q13006","Yes"
"abrego","q325","Yes"
"abrego","q12964","Yes"
"abrego","q17","Yes"
"abrego","q15698","They're okay, but keep the unruly ones at bay."
"abrego","q1707","Meh. I have my ups and downs."
"abrego","q134","No"
"abrego","q20930","Higher than average"
"abrego","q19898","I'm an information sponge"
"abrego","q20725","All the time"
"abrego","q46","Interesting"
"abrego","q1099","Yes"
"abrego","q4018","Yes"
"abrego","q35660","Usually"
"abrego","q358084","Yes"
"abrego","q255","89547"
"abrego","q8672","Where"
"abrego","q301","No"
"abrego","q14835","On my right hand"
"abrego","q178","The Sun"
