"d_username","field","value"
"amygracey","d_age","20"
"amygracey","d_city","Frederick"
"amygracey","d_city","United States"
"amygracey","d_orientation","Bisexual"
"amygracey","d_gender","Woman"
"amygracey","d_relationship","Single"
"amygracey","d_bodytype","A little"
"amygracey","d_ethnicity","White"
"amygracey","d_languages","English"
"amygracey","d_education_phase","Attended"
"amygracey","d_education_type","Two-year college"
"amygracey","d_smokes","Never"
"amygracey","d_drugs","No"
"amygracey","d_offspring_current","No kids"
"amygracey","lf_single","single"
"amygracey","lf_location","near me"
"amygracey","lf_min_age","18"
"amygracey","lf_max_age","26"
"amygracey","lf_for","short & long term dating"
"amygracey","p_lovedri","56"
"amygracey","p_kinky","46"
"amygracey","p_giving","42"
"amygracey","p_artsy","38"
"amygracey","p_outgoing","36"
"amygracey","p_lit","28"
"amygracey","p_sexperienced","18"
"amygracey","p_indie","16"
"amygracey","p_roman","12"
"amygracey","p_ambi","-30"
"amygracey","p_playful","-32"
"amygracey","p_polit","-32"
"amygracey","p_polite","-32"
"amygracey","p_sexdrive","-38"
"amygracey","p_organized","-40"
"amygracey","p_sprit","-40"
"amygracey","q36790","No.  Never."
"amygracey","q85835","Abused animals."
"amygracey","q171","Your country"
"amygracey","q341","No"
"amygracey","q20818","No, some things are just right or wrong."
"amygracey","q30455","No"
"amygracey","q218","I don't think so"
"amygracey","q85315","No."
"amygracey","q142","No"
"amygracey","q174","Bad"
"amygracey","q18843","Yes"
"amygracey","q65","No"
"amygracey","q1153","Embraced as an art form"
"amygracey","q15752","Not so important"
"amygracey","q393","Yes"
"amygracey","q868","Yes, always"
"amygracey","q594","Yes, anything can be funny in the right light."
"amygracey","q887","Yes, and I often try to push the boundaries!"
"amygracey","q1446","It depends on the kind of suffering"
"amygracey","q29829","Always"
"amygracey","q42329","No"
"amygracey","q53965","Find someone else to deal with it."
"amygracey","q15695","No, we are just animals"
"amygracey","q9379","Yes, but only with my friend's permission"
"amygracey","q34113","It's okay, if it is not abused"
"amygracey","q17","No"
"amygracey","q136","Yes"
"amygracey","q175","No"
"amygracey","q40288","Somewhat."
"amygracey","q48947","No."
"amygracey","q55355","No."
"amygracey","q39","Yes"
"amygracey","q18125","No"
"amygracey","q66548","It doesn't bother me at all."
"amygracey","q838","Yes"
"amygracey","q39373","Rarely."
"amygracey","q612","No, creationism has no place in schools"
"amygracey","q12428","Yes"
"amygracey","q81866","It wouldn't matter to me at all."
"amygracey","q70","No"
"amygracey","q213","No"
"amygracey","q9447","Fewer stupid people"
"amygracey","q39185","book burning"
"amygracey","q54871","No."
"amygracey","q455","No"
"amygracey","q18979","No, I'd confront them."
"amygracey","q48770","No."
"amygracey","q15878","Yes"
"amygracey","q18299","No"
"amygracey","q18797","No, I'd trust them and that would be invasive."
"amygracey","q31877","Unnecessary but appreciated."
"amygracey","q53312","Weapons."
"amygracey","q226","the right to bear arms"
"amygracey","q486","Welfare is mostly good"
"amygracey","q2781","Yes"
"amygracey","q15037","No"
"amygracey","q19748","I have no problem with them. You go girls!"
"amygracey","q13","No"
"amygracey","q154","No, it wouldn't."
"amygracey","q168","False"
"amygracey","q412","Yes"
"amygracey","q1497","Peace on Earth"
"amygracey","q13054","I support the laws"
"amygracey","q17017","Never"
"amygracey","q47764","Yes."
"amygracey","q86217","Yes."
"amygracey","q14","No"
"amygracey","q71","No"
"amygracey","q26684","No"
"amygracey","q37708","Acceptable."
"amygracey","q40570","Truthful"
"amygracey","q46563","No."
"amygracey","q395","Yes"
"amygracey","q229","No"
"amygracey","q1081","I'll stick with my principles, thanks."
"amygracey","q19681","No"
"amygracey","q20298","A sign of strength"
"amygracey","q24125","No"
"amygracey","q26387","Not usually"
"amygracey","q9384","No"
"amygracey","q30115","I have."
"amygracey","q39714","Yes."
"amygracey","q321556","A few times a year or less"
"amygracey","q348","Giving massages"
"amygracey","q963","No"
"amygracey","q1132","Yes"
"amygracey","q86184","No, I am an open book."
"amygracey","q12605","Once or twice a week"
"amygracey","q45006","Yes."
"amygracey","q11","Indifferent"
"amygracey","q20062","Absolutely."
"amygracey","q48347","Yes"
"amygracey","q30903","No"
"amygracey","q19140","No"
"amygracey","q20212","Sometimes"
"amygracey","q56606","Very interested."
"amygracey","q24375","6 or more dates"
"amygracey","q21","Yes"
"amygracey","q323","Super confident"
