"d_username","field","value"
"avocados__","d_age","21"
"avocados__","d_city","Chicago"
"avocados__","d_city","United States"
"avocados__","d_orientation","Queer"
"avocados__","d_orientation","Pansexual"
"avocados__","d_gender","Woman"
"avocados__","d_relationship","Single"
"avocados__","d_bodytype","Fit"
"avocados__","d_ethnicity","White"
"avocados__","d_languages","English"
"avocados__","d_education_phase","Working on"
"avocados__","d_education_type","Two-year college"
"avocados__","d_drinks","Socially"
"avocados__","d_drugs","No"
"avocados__","d_offspring_current","No kids"
"avocados__","d_offspring_desires","Doesn't want kids"
"avocados__","lf_single","single"
"avocados__","lf_location","near me"
"avocados__","lf_min_age","20"
"avocados__","lf_max_age","32"
"avocados__","lf_for","short & long term dating and new friends"
"avocados__","p_trusting","16"
"avocados__","p_oldfash","-20"
"avocados__","q393","No"
"avocados__","q27921","Less safe"
"avocados__","q154","No, it wouldn't."
"avocados__","q60100","Yes"
"avocados__","q156913","No"
"avocados__","q41","Not at all important"
"avocados__","q179268","Yes"
"avocados__","q221105","I rarely use it."
"avocados__","q501","Yes"
"avocados__","q553","No"
"avocados__","q76","Yes"
"avocados__","q49","Intense"
"avocados__","q9688","Yes, but only soft stuff like marijuana"
"avocados__","q325","Yes"
"avocados__","q358077","No"
"avocados__","q23834","Yes"
"avocados__","q325","Yes"
"avocados__","q403","No"
"avocados__","q997","Both"
"avocados__","q46403","Yes."
"avocados__","q44639","Yes"
"avocados__","q48857","Yes."
"avocados__","q48","Weird"
"avocados__","q426","Yes"
"avocados__","q149","Passion"
"avocados__","q16053","Totally willing!"
"avocados__","q1440","No"
"avocados__","q80041","No"
"avocados__","q358080","Discovering your shared interests"
"avocados__","q325","Yes"
"avocados__","q403","No"
"avocados__","q46403","Yes."
"avocados__","q46","Good"
"avocados__","q35660","Always"
"avocados__","q20930","Average"
"avocados__","q20725","Sometimes"
"avocados__","q14835","On my right hand"
"avocados__","q4018","Yes"
"avocados__","q358084","Yes"
