"d_username","field","value"
"baeblades","d_age","22"
"baeblades","d_city","Chicago"
"baeblades","d_city","United States"
"baeblades","d_orientation","Questioning"
"baeblades","d_gender","Woman"
"baeblades","d_relationship","Single"
"baeblades","d_languages","English and Spanish"
"baeblades","d_drinks","Socially"
"baeblades","lf_single","single"
"baeblades","lf_location","near me"
"baeblades","lf_min_age","18"
"baeblades","lf_max_age","30"
"baeblades","lf_for","new friends"
"baeblades","p_indie","40"
"baeblades","p_wholesome","-46"
"baeblades","q41","Not very important"
"baeblades","q6347","Yes"
"baeblades","q210","No"
"baeblades","q48372","No"
"baeblades","q763","Yes"
"baeblades","q48328","Yes."
"baeblades","q325","No"
"baeblades","q15746","Yes"
"baeblades","q76","Yes"
"baeblades","q1112","No"
"baeblades","q441","Yes"
"baeblades","q12796","No"
"baeblades","q307","Yes"
"baeblades","q9688","Yes, but only soft stuff like marijuana"
"baeblades","q358077","No"
"baeblades","q358077","No"
"baeblades","q6537","No"
"baeblades","q87","No"
"baeblades","q512","Yes"
"baeblades","q553","Yes"
"baeblades","q51349","No."
"baeblades","q403","No"
"baeblades","q60318","Yes."
"baeblades","q62455","No."
"baeblades","q220","No"
"baeblades","q401","Yes"
"baeblades","q6867","Yes"
"baeblades","q436","Yes"
"baeblades","q1766","Yes"
"baeblades","q6619","Yes"
"baeblades","q44639","Yes"
"baeblades","q48","Weird"
"baeblades","q94","Yes"
"baeblades","q426","Yes"
"baeblades","q434","Yes"
"baeblades","q19737","Yes"
"baeblades","q15744","Yes"
"baeblades","q179268","No"
"baeblades","q763","Yes"
"baeblades","q60500","Yes."
"baeblades","q149","Dedication"
"baeblades","q41953","Several years"
"baeblades","q15280","Yes"
"baeblades","q54016","Yes."
"baeblades","q16053","Hesitant, but I'd certainly consider it."
"baeblades","q48557","No."
"baeblades","q80041","No"
"baeblades","q123","No"
"baeblades","q358080","Discovering your shared interests"
"baeblades","q106","No"
"baeblades","q325","No"
"baeblades","q403","No"
"baeblades","q17","Yes"
"baeblades","q46176","No."
"baeblades","q6155","No"
"baeblades","q1099","No"
"baeblades","q15749","Yes"
"baeblades","q50755","Yes."
"baeblades","q57","No"
"baeblades","q60892","Yes."
"baeblades","q20930","Average"
"baeblades","q391","No"
"baeblades","q27794","Yes"
"baeblades","q86","No"
