"d_username","field","value"
"blondesuga","d_age","25"
"blondesuga","d_city","Palm Bay"
"blondesuga","d_city","United States"
"blondesuga","d_orientation","Bisexual"
"blondesuga","d_gender","Woman"
"blondesuga","d_relationship","Single"
"blondesuga","d_bodytype","Curvy"
"blondesuga","d_ethnicity","White"
"blondesuga","d_languages","English"
"blondesuga","d_smokes","Regularly"
"blondesuga","d_drinks","Socially"
"blondesuga","d_drugs","No"
"blondesuga","d_offspring_current","No kids"
"blondesuga","d_offspring_desires","might want kids"
"blondesuga","lf_location","near me"
"blondesuga","lf_min_age","21"
"blondesuga","lf_max_age","30"
"blondesuga","lf_for","new friends"
"blondesuga","p_organized","36"
"blondesuga","p_good-natured","22"
"blondesuga","p_aggressive","14"
"blondesuga","p_adven","-18"
"blondesuga","p_sloppy","-32"
"blondesuga","q39185","flag burning"
"blondesuga","q838","No"
"blondesuga","q175","Yes"
"blondesuga","q9379","No"
"blondesuga","q17","No"
"blondesuga","q29829","Always"
"blondesuga","q154","No, it wouldn't."
"blondesuga","q463","I take control"
"blondesuga","q64476","No."
"blondesuga","q58162","No."
"blondesuga","q321556","Once a day or more"
"blondesuga","q1597","No"
"blondesuga","q12560","No"
"blondesuga","q58812","No"
"blondesuga","q54127","No, never."
"blondesuga","q12605","About every other day"
"blondesuga","q35355","I'm open, but I don't get too crazy."
"blondesuga","q17768","Intercourse"
"blondesuga","q64334","Somewhat disappointed."
"blondesuga","q35","Love"
"blondesuga","q24375","1-2 dates"
"blondesuga","q63114","My sex drive is higher than average."
"blondesuga","q12","No"
"blondesuga","q7077","Sleeping"
"blondesuga","q29384","Yes."
"blondesuga","q19446","Yes, I have done it, but don't any more."
"blondesuga","q20889","It refers to a very specific kind of sex."
"blondesuga","q323","Confident"
"blondesuga","q9628","Yes"
"blondesuga","q57847","Closed."
"blondesuga","q1028","I enjoy both equally"
"blondesuga","q69186","Yes."
"blondesuga","q324","I disagree."
"blondesuga","q348","Receiving massages"
"blondesuga","q26525","Yes"
"blondesuga","q963","Yes"
"blondesuga","q17","No"
"blondesuga","q41","Not very important"
"blondesuga","q763","Yes"
"blondesuga","q60100","No"
"blondesuga","q1766","No"
"blondesuga","q77","Never"
"blondesuga","q40441","Yes."
"blondesuga","q46403","No."
"blondesuga","q62455","Yes."
"blondesuga","q9688","No"
"blondesuga","q15030","Movies"
"blondesuga","q501","Yes"
"blondesuga","q325","No"
"blondesuga","q12796","No"
"blondesuga","q20418","Yes"
"blondesuga","q28777","No"
"blondesuga","q79","Never."
"blondesuga","q358077","No"
"blondesuga","q403","No"
"blondesuga","q1112","Yes"
"blondesuga","q18834","Love"
"blondesuga","q27164","No"
"blondesuga","q80","I never do drugs."
"blondesuga","q87","No"
"blondesuga","q82566","Yes, but I can do without it."
"blondesuga","q221105","I'm a somewhat active user."
"blondesuga","q49","Carefree"
"blondesuga","q997","Both"
"blondesuga","q13100","Yes"
"blondesuga","q44639","Yes"
"blondesuga","q48328","No."
"blondesuga","q434","Yes"
"blondesuga","q1062","At least once a day."
"blondesuga","q94","Yes"
"blondesuga","q1454","Yes"
"blondesuga","q35409","Clean up immediately after eating."
"blondesuga","q12970","Twice or more a day"
"blondesuga","q179268","No"
"blondesuga","q426","Yes"
"blondesuga","q15744","Yes"
"blondesuga","q48","Weird"
"blondesuga","q76934","Porn."
"blondesuga","q35778","Yes."
"blondesuga","q763","Yes"
"blondesuga","q165644","No physical attraction"
"blondesuga","q46856","Simple"
"blondesuga","q153","A really nice restaurant"
"blondesuga","q149","Dedication"
"blondesuga","q308","No"
"blondesuga","q44540","Yes - I would mind this."
"blondesuga","q41953","A few months to a year"
"blondesuga","q122","A little"
"blondesuga","q31840","Embracing / cuddling my partner"
"blondesuga","q5764","Utterly disgusting"
"blondesuga","q18875","Very damn important"
"blondesuga","q30207","No, it's fine."
"blondesuga","q23543","Yes, unless otherwise specified"
"blondesuga","q16053","Totally willing!"
"blondesuga","q19378","Touch: Give them a hug, massage or kiss"
"blondesuga","q146","Kissing in a tent, in the woods"
"blondesuga","q20021","Someone to go out with"
"blondesuga","q20135","I like to just let it happen"
"blondesuga","q358014","Yes"
"blondesuga","q106","No"
"blondesuga","q366","Dating one person at a time"
"blondesuga","q1815","Yes"
"blondesuga","q1440","No"
"blondesuga","q85272","I want you."
"blondesuga","q363047","Yes"
"blondesuga","q19874","12+ months"
"blondesuga","q27239","Scary"
"blondesuga","q358080","Discovering your shared interests"
"blondesuga","q48753","Yes."
"blondesuga","q46403","No."
"blondesuga","q325","No"
"blondesuga","q12560","No"
"blondesuga","q9379","No"
"blondesuga","q403","No"
"blondesuga","q17","No"
