"d_username","field","value"
"fshn212","d_age","27"
"fshn212","d_city","Hoboken"
"fshn212","d_city","United States"
"fshn212","d_orientation","Bisexual"
"fshn212","d_gender","Woman"
"fshn212","d_relationship","Single"
"fshn212","d_bodytype","Curvy"
"fshn212","d_ethnicity","Other ethnicity"
"fshn212","d_languages","English and some Spanish"
"fshn212","d_education_phase","Attended"
"fshn212","d_education_type","University"
"fshn212","d_smokes","Never"
"fshn212","d_drinks","Socially"
"fshn212","d_offspring_current","No kids"
"fshn212","d_offspring_desires","might want kids"
"fshn212","lf_single","single"
"fshn212","lf_location","near me"
"fshn212","lf_min_age","23"
"fshn212","lf_max_age","30"
"fshn212","lf_for","short-term dating and new friends"
"fshn212","p_energetic","88"
"fshn212","p_conf","86"
"fshn212","p_artsy","82"
"fshn212","p_outgoing","76"
"fshn212","p_spon","62"
"fshn212","p_sexperienced","56"
"fshn212","p_athletic","50"
"fshn212","p_exp","46"
"fshn212","p_adven","32"
"fshn212","p_ambi","32"
"fshn212","p_sexdrive","18"
"fshn212","p_conservative","-16"
"fshn212","p_friendly","-18"
"fshn212","p_playful","-22"
"fshn212","p_wholesome","-26"
"fshn212","p_indie","-32"
"fshn212","p_thrift","-38"
"fshn212","q35203","No"
"fshn212","q1408","No"
"fshn212","q57718","Sleeping."
"fshn212","q35995","Yes"
"fshn212","q324","I agree."
"fshn212","q17808","Depends on how 'well' we are talking!"
"fshn212","q64476","No."
"fshn212","q86366","Maybe, depending upon the circumstances."
"fshn212","q18639","No"
"fshn212","q2","more cool than pathetic"
"fshn212","q30","No"
"fshn212","q1040","I don't like it / I don't think I would like it"
"fshn212","q7077","Sex"
"fshn212","q20062","No way."
"fshn212","q11","Indifferent"
"fshn212","q323","Super confident"
"fshn212","q321556","A few times a month"
"fshn212","q1049","On"
"fshn212","q30903","Yes"
"fshn212","q21","Yes"
"fshn212","q32","I have little or no interest."
"fshn212","q20976","That seems like an average number."
"fshn212","q538","Yes"
"fshn212","q1597","Yes"
"fshn212","q15478","No"
"fshn212","q23993","Very experienced"
"fshn212","q19893","No"
"fshn212","q53402","Yes."
"fshn212","q13130","Yes"
"fshn212","q20981","Ouch, no thanks."
"fshn212","q58812","Yes"
"fshn212","q61823","Yes."
"fshn212","q70135","The altar."
"fshn212","q83480","Neatly trimmed."
"fshn212","q12","Yes"
"fshn212","q358","No"
"fshn212","q1132","No"
"fshn212","q16317","No"
"fshn212","q18433","Sort of positive"
"fshn212","q18966","Hard!"
"fshn212","q24684","Sometimes"
"fshn212","q35959","I do not like being tickled during sex."
"fshn212","q81307","No."
"fshn212","q82263","No."
"fshn212","q35","Love"
"fshn212","q280","No"
"fshn212","q12605","About every other day"
"fshn212","q29384","Yes."
"fshn212","q63114","My sex drive is about average."
"fshn212","q72086","No."
"fshn212","q20212","Never"
"fshn212","q24375","3-5 dates"
"fshn212","q28545","Yes, but gently."
"fshn212","q31374","Yes, on occasion. I have to be in the mood."
"fshn212","q35355","Very open. I'll try anything once."
"fshn212","q81807","Maybe."
"fshn212","q86184","Sometimes."
"fshn212","q27","Telling someone you really care"
"fshn212","q21527","No"
"fshn212","q26405","Yes, with skill and sometimes patience"
"fshn212","q39714","No."
"fshn212","q42524","Yes."
"fshn212","q50178","Yes."
"fshn212","q86417","More than a day, less than a week."
"fshn212","q28","No"
"fshn212","q38320","Yes."
"fshn212","q83184","Either, depending upon how they sound."
"fshn212","q1028","I enjoy both equally"
"fshn212","q1401","Yes, and I enjoyed myself."
"fshn212","q7273","No"
"fshn212","q18682","Yes"
"fshn212","q30115","I wouldn't."
"fshn212","q57847","Closed."
"fshn212","q58829","Yes."
"fshn212","q463","They take control"
"fshn212","q12964","Yes"
"fshn212","q18530","Yes"
"fshn212","q48347","No"
"fshn212","q61278","Positively."
"fshn212","q64334","Extremely disappointed."
"fshn212","q26525","Yes"
"fshn212","q28918","Yes"
"fshn212","q35276","Just enough to get things right."
"fshn212","q60756","Maybe, it would depend upon the phrase."
"fshn212","q29","be tied up during sex"
"fshn212","q637","Yes"
"fshn212","q665","Bring out the toys!"
"fshn212","q963","Yes"
"fshn212","q14913","No"
"fshn212","q20889","It refers to a very specific kind of sex."
"fshn212","q30169","Love it!"
"fshn212","q60852","Yes"
"fshn212","q61133","Yes."
"fshn212","q26","Yes"
"fshn212","q37","Under 18"
"fshn212","q1173","No"
"fshn212","q9628","Yes"
"fshn212","q57731","Yes."
"fshn212","q62173","Yes."
"fshn212","q69186","Yes."
"fshn212","q13095","Under the right circumstance, Yes"
"fshn212","q35435","Yes.  Occasionally."
"fshn212","q57717","No."
"fshn212","q62537","Yes."
"fshn212","q65043","Yes."
"fshn212","q275","No"
"fshn212","q63165","I'd laugh."
"fshn212","q393","Yes"
"fshn212","q17","No"
"fshn212","q14","No"
"fshn212","q24125","No"
"fshn212","q13","No"
"fshn212","q395","Yes"
"fshn212","q19681","No"
"fshn212","q156913","Yes"
"fshn212","q81873","Yes."
"fshn212","q15889","Equally in both"
"fshn212","q48372","Yes"
"fshn212","q41","Somewhat important"
"fshn212","q210","Yes"
"fshn212","q20408","No, but I do practice one/some of these."
"fshn212","q6542","Yes"
"fshn212","q43509","No."
"fshn212","q13032","Yes"
"fshn212","q763","Yes"
"fshn212","q61786","No"
"fshn212","q44","False"
"fshn212","q193","No"
"fshn212","q156915","No"
"fshn212","q156918","No"
"fshn212","q411","Yes"
"fshn212","q18708","A method one can follow to make predictions."
"fshn212","q156914","No"
"fshn212","q70135","The altar."
"fshn212","q612","Yes, students should hear both sides"
"fshn212","q47764","Yes."
"fshn212","q17457","Anyone who does is a loser."
"fshn212","q6722","Sports are a very important part of my life."
"fshn212","q26720","More than a $1000"
"fshn212","q24748","No"
"fshn212","q81","Lots"
"fshn212","q36678","Yes"
"fshn212","q1309","More than 100 people."
"fshn212","q1588","No, I dislike cats."
"fshn212","q20290","Yes, Extremely"
"fshn212","q77456","Yes."
"fshn212","q9688","Yes"
"fshn212","q17168","No"
"fshn212","q28478","Negative. That's tacky/cheap."
"fshn212","q8048","A yuppie"
"fshn212","q548","No"
"fshn212","q1712","Not at all shy"
"fshn212","q49803","Occasionally."
"fshn212","q62140","Yes, always."
"fshn212","q74","Clothes"
"fshn212","q8155","Weekly / Bi-Weekly"
"fshn212","q80","I do drugs occasionally."
"fshn212","q67651","Private school."
"fshn212","q55","Yes"
"fshn212","q77","Very often"
"fshn212","q234","A lot"
"fshn212","q6867","No"
"fshn212","q46403","No."
"fshn212","q6636","New"
"fshn212","q18711","No, and I wouldn't be interested"
"fshn212","q22569","Yes"
"fshn212","q18955","No"
"fshn212","q48328","Yes."
"fshn212","q5417","No"
"fshn212","q35862","A cold room"
"fshn212","q44639","No"
"fshn212","q19567","8-20"
"fshn212","q19815","Yes, I wouldn't be able to tolerate that."
"fshn212","q26052","Maybe"
"fshn212","q21793","Several times per week, or more."
"fshn212","q35407","Watching live at courts, stadiums, rinks, etc."
"fshn212","q47635","No."
"fshn212","q63","Social"
"fshn212","q220","Yes"
"fshn212","q69912","Scientist"
"fshn212","q141","No"
"fshn212","q365","A lot"
"fshn212","q91","Watch television"
"fshn212","q13006","Yes, but only an occasional/social smoker"
"fshn212","q93","Variety"
"fshn212","q307","Yes"
"fshn212","q435","Yes"
"fshn212","q501","Yes"
"fshn212","q167","Sometimes"
"fshn212","q42918","Loud or louder."
"fshn212","q50006","No impact."
"fshn212","q185","No"
"fshn212","q6888","No"
"fshn212","q553","No"
"fshn212","q15839","No"
"fshn212","q20418","Yes"
"fshn212","q37693","No."
"fshn212","q54695","Very clear."
"fshn212","q78","No"
"fshn212","q79","I smoke occasionally."
"fshn212","q132","Yes"
"fshn212","q997","Dogs"
"fshn212","q71542","Below 70F (21C)"
"fshn212","q56","Yes"
"fshn212","q531","Dancing"
"fshn212","q15414","Yes, I have used psychedelic drugs."
"fshn212","q16269","Very Often"
"fshn212","q18644","Yes"
"fshn212","q19897","Not my type of thing / NO IDEA"
"fshn212","q24991","Maybe less mileage"
"fshn212","q30830","Yes, whenever possible."
"fshn212","q50542","Yes."
"fshn212","q354","No"
"fshn212","q13136","Very Important"
"fshn212","q18834","Expression"
"fshn212","q71315","Yes, but I don't need it to fall asleep."
"fshn212","q160","A life of accomplishment"
"fshn212","q318","Somewhat important"
"fshn212","q325","Yes"
"fshn212","q1112","Yes"
"fshn212","q1119","No"
"fshn212","q18609","Yes, I'm a culinary genius."
"fshn212","q21411","I love to argue!"
"fshn212","q22021","Yes, it's somewhat important."
"fshn212","q23618","Sort of - I need friends outside of my partner"
"fshn212","q37695","Yes - On occasion."
"fshn212","q38196","I am an urban or city person."
"fshn212","q67641","Very important."
"fshn212","q68185","Yes."
"fshn212","q221105","I'm a very active user."
"fshn212","q358077","Yes"
"fshn212","q15030","Music"
"fshn212","q18212","15-20%"
"fshn212","q23954","Sometimes"
"fshn212","q32657","Sure, it's good to do stuff together"
"fshn212","q38051","Rarely."
"fshn212","q82528","Yes, always."
"fshn212","q86750","The biggest or most thrilling ones."
"fshn212","q113","Yes"
"fshn212","q434","Yes"
"fshn212","q445","Work"
"fshn212","q542","Between five and fifteen"
"fshn212","q12584","Yes"
"fshn212","q17342","By 1am"
