"d_username","field","value"
"heythereshida","d_age","22"
"heythereshida","d_city","Oakland"
"heythereshida","d_city","United States"
"heythereshida","d_orientation","Pansexual"
"heythereshida","d_gender","Woman"
"heythereshida","d_relationship","Single"
"heythereshida","d_languages","English and Persian"
"heythereshida","d_education_phase","Attended"
"heythereshida","d_education_type","University"
"heythereshida","d_offspring_current","No kids"
"heythereshida","lf_location","near me"
"heythereshida","lf_min_age","22"
"heythereshida","lf_max_age","35"
"heythereshida","lf_for","short & long term dating and new friends"
"heythereshida","p_trusting","16"
"heythereshida","p_indie","10"
"heythereshida","p_oldfash","-46"
"heythereshida","p_conservative","-76"
"heythereshida","q612","No, creationism has no place in schools"
"heythereshida","q175","No"
"heythereshida","q838","Yes"
"heythereshida","q70","No"
"heythereshida","q393","No"
"heythereshida","q27921","Less safe"
"heythereshida","q46927","No."
"heythereshida","q395","Yes"
"heythereshida","q29829","Whenever possible"
"heythereshida","q8218","No"
"heythereshida","q154","No, it wouldn't."
"heythereshida","q24125","No"
"heythereshida","q14","No"
"heythereshida","q19681","No"
"heythereshida","q1572","No"
"heythereshida","q12605","Every day"
"heythereshida","q18530","Yes"
"heythereshida","q12964","Yes"
"heythereshida","q38320","Yes."
"heythereshida","q15756","Yes"
"heythereshida","q57731","Yes."
"heythereshida","q1401","Yes, and I enjoyed myself."
"heythereshida","q393","No"
"heythereshida","q395","Yes"
"heythereshida","q24125","No"
"heythereshida","q8218","No"
"heythereshida","q19681","No"
"heythereshida","q14","No"
"heythereshida","q612","No, creationism has no place in schools"
"heythereshida","q9688","Yes"
"heythereshida","q40441","Yes."
"heythereshida","q87","Yes"
"heythereshida","q20418","Yes"
"heythereshida","q49","Intense"
"heythereshida","q325","Yes"
"heythereshida","q553","No"
"heythereshida","q23834","No"
"heythereshida","q403","Yes"
"heythereshida","q501","No"
"heythereshida","q212814","Very important"
"heythereshida","q77","Rarely"
"heythereshida","q997","Both"
"heythereshida","q12970","Twice or more a day"
"heythereshida","q18834","Expression"
"heythereshida","q1112","Yes"
"heythereshida","q358077","No"
"heythereshida","q44639","Yes"
"heythereshida","q212813","Liberal / Left-wing"
"heythereshida","q76","No"
"heythereshida","q19011","No"
"heythereshida","q1766","Yes"
"heythereshida","q48","Weird"
"heythereshida","q179268","No"
"heythereshida","q149","Passion"
"heythereshida","q41953","A few months to a year"
"heythereshida","q16053","Totally willing!"
"heythereshida","q80041","No"
"heythereshida","q123","No"
"heythereshida","q1440","No"
"heythereshida","q403","Yes"
"heythereshida","q325","Yes"
"heythereshida","q12964","Yes"
"heythereshida","q60892","No."
"heythereshida","q445141","Flight"
"heythereshida","q416236","Yay!"
"heythereshida","q28903","An important interview"
"heythereshida","q50755","Yes."
"heythereshida","q46","Interesting"
"heythereshida","q178","The Sun"
"heythereshida","q35660","Usually"
"heythereshida","q358084","Yes"
