"d_username","field","value"
"iceger95","d_age","21"
"iceger95","d_city","Tampines New Town"
"iceger95","d_city","Singapore"
"iceger95","d_orientation","Bisexual"
"iceger95","d_gender","Woman"
"iceger95","d_relationship","Single"
"iceger95","d_bodytype","Average build"
"iceger95","d_ethnicity","Asian"
"iceger95","d_languages","English and Chinese"
"iceger95","d_smokes","Sometimes"
"iceger95","d_drinks","Socially"
"iceger95","d_drugs","No"
"iceger95","lf_single","single"
"iceger95","lf_location","near me"
"iceger95","lf_min_age","18"
"iceger95","lf_max_age","28"
"iceger95","lf_for","short & long term dating and new friends"
"iceger95","p_conf","80"
"iceger95","p_spon","76"
"iceger95","p_sexperienced","74"
"iceger95","p_sexdrive","62"
"iceger95","p_aggressive","40"
"iceger95","p_kinky","28"
"iceger95","p_oldfash","12"
"iceger95","p_conservative","-24"
"iceger95","p_dominant","-46"
"iceger95","p_good-natured","-66"
"iceger95","p_wholesome","-66"
"iceger95","q84366","Maybe."
"iceger95","q17","Yes"
"iceger95","q175","Yes"
"iceger95","q838","Yes"
"iceger95","q27921","Neither / unsure"
"iceger95","q612","Yes, students should hear both sides"
"iceger95","q393","No"
"iceger95","q70","No"
"iceger95","q154","No, it wouldn't."
"iceger95","q395","Yes"
"iceger95","q8218","No"
"iceger95","q13","No"
"iceger95","q1447","No"
"iceger95","q18299","No"
"iceger95","q19681","No"
"iceger95","q53312","Weapons."
"iceger95","q14","No"
"iceger95","q24125","No"
"iceger95","q19854","Yes"
"iceger95","q14913","Yes"
"iceger95","q30115","I have."
"iceger95","q85481","Find the nearest hotel room."
"iceger95","q27","Oral sex"
"iceger95","q17808","Yes"
"iceger95","q60726","No."
"iceger95","q80928","No."
"iceger95","q26","No"
"iceger95","q1132","Yes"
"iceger95","q39714","Yes."
"iceger95","q12964","No"
"iceger95","q67658","Positively."
"iceger95","q79920","Yes.  In fact, I'd even do it if I wasn't behind."
"iceger95","q637","No, but it sounds like fun"
"iceger95","q324","I agree."
"iceger95","q83382","Yes."
"iceger95","q26525","Always"
"iceger95","q54040","Yes."
"iceger95","q538","No"
"iceger95","q15754","Yes"
"iceger95","q81307","Yes."
"iceger95","q1850","No way"
"iceger95","q7077","Sex"
"iceger95","q57718","Masturbating or having sex again."
"iceger95","q18433","Very positive, maybe even send nudes back"
"iceger95","q18530","No"
"iceger95","q18691","No"
"iceger95","q49345","No."
"iceger95","q20889","It's beautiful."
"iceger95","q321556","A few times a month"
"iceger95","q18758","Yes"
"iceger95","q323","Super confident"
"iceger95","q16317","I don't know"
"iceger95","q21","Yes"
"iceger95","q20976","No, that's nothing."
"iceger95","q24684","Sometimes"
"iceger95","q12","Yes"
"iceger95","q1597","No"
"iceger95","q19140","Yes"
"iceger95","q309","Yes"
"iceger95","q1049","It's exactly the same to me"
"iceger95","q64334","Somewhat disappointed."
"iceger95","q81420","Maybe, it depends on who they are thinking about."
"iceger95","q32","I have tried it."
"iceger95","q392","Yes"
"iceger95","q15478","Yes"
"iceger95","q20662","I'm Not Sure"
"iceger95","q72086","No."
"iceger95","q85999","Wanting no sex with me at all would be worse."
"iceger95","q11","Aroused"
"iceger95","q37","18 or Over"
"iceger95","q314","No"
"iceger95","q30903","Yes"
"iceger95","q48659","No."
"iceger95","q12560","Yes"
"iceger95","q23993","Moderately experienced"
"iceger95","q79635","Positive."
"iceger95","q34","Horny"
"iceger95","q12605","Every day"
"iceger95","q53402","Yes."
"iceger95","q80929","No."
"iceger95","q83480","Neatly trimmed."
"iceger95","q83808","No."
"iceger95","q333","Yes"
"iceger95","q348","Receiving massages"
"iceger95","q57101","Sexuality."
"iceger95","q58812","Yes"
"iceger95","q61823","Maybe, depending upon the partner."
"iceger95","q64436","Yes."
"iceger95","q467","Yes, I'm louder"
"iceger95","q1040","I like it / I think I might like it"
"iceger95","q1401","Yes, and I enjoyed myself."
"iceger95","q35959","I do not like being tickled during sex."
"iceger95","q46644","Hot."
"iceger95","q48347","No"
"iceger95","q48450","No."
"iceger95","q56607","Yes."
"iceger95","q65937","The cheating."
"iceger95","q70302","Relaxing."
"iceger95","q82263","No."
"iceger95","q83184","Turn on."
"iceger95","q2","more pathetic than cool"
"iceger95","q35","Love"
"iceger95","q1572","Yes"
"iceger95","q18966","Both!"
"iceger95","q24375","3-5 dates"
"iceger95","q35355","Very open. I'll try anything once."
"iceger95","q42524","Yes."
"iceger95","q56606","Somewhat interested."
"iceger95","q57847","Closed."
"iceger95","q64476","Yes."
"iceger95","q7273","No"
"iceger95","q21527","No"
"iceger95","q29384","Yes."
"iceger95","q57731","Yes."
"iceger95","q63114","My sex drive is higher than average."
"iceger95","q72735","I'd tease them about it."
"iceger95","q78852","Yes."
"iceger95","q86417","More than a week."
"iceger95","q280","No"
"iceger95","q1387","Yes"
"iceger95","q20212","Never"
"iceger95","q28742","Yes"
"iceger95","q38320","Yes."
"iceger95","q61733","No."
"iceger95","q963","Yes"
"iceger95","q1274","Long, slow"
"iceger95","q18619","Yes"
"iceger95","q22706","Yes"
"iceger95","q26405","Yes, with skill and sometimes patience"
"iceger95","q35894","Yes"
"iceger95","q40457","No."
"iceger95","q50178","Yes."
"iceger95","q70135","Neither would bother me at all."
"iceger95","q30","Yes, some"
"iceger95","q30169","Love it!"
"iceger95","q35276","Just enough to get things right."
"iceger95","q1028","I enjoy both equally"
"iceger95","q1173","No"
"iceger95","q1263","No, the past is the past."
"iceger95","q28918","Yes"
"iceger95","q37146","No"
"iceger95","q41696","It depends upon which friend."
"iceger95","q61903","No"
"iceger95","q62537","Yes."
"iceger95","q68738","Yes."
"iceger95","q24","No"
"iceger95","q29","be tied up during sex"
"iceger95","q227","Yes"
"iceger95","q463","They take control"
"iceger95","q9628","Yes"
"iceger95","q12210","Yes"
"iceger95","q35203","Yes"
"iceger95","q62889","No."
"iceger95","q65043","Yes."
"iceger95","q72318","Yes."
"iceger95","q1439","Yes"
"iceger95","q12832","No"
"iceger95","q50564","Yes."
"iceger95","q57717","No."
"iceger95","q60852","Yes"
"iceger95","q86366","Yes."
"iceger95","q275","No"
"iceger95","q1011","Yes"
"iceger95","q61133","Yes."
"iceger95","q63165","I'd laugh."
"iceger95","q6040","Yes"
"iceger95","q13095","Under the right circumstance, Yes"
"iceger95","q64429","No."
"iceger95","q1435","Yes"
"iceger95","q84366","Maybe."
"iceger95","q17","Yes"
"iceger95","q393","No"
"iceger95","q53312","Weapons."
"iceger95","q1447","No"
"iceger95","q18299","No"
"iceger95","q13","No"
"iceger95","q395","Yes"
"iceger95","q14","No"
"iceger95","q8218","No"
"iceger95","q19681","No"
"iceger95","q24125","No"
"iceger95","q48","Normal"
"iceger95","q553","No"
"iceger95","q501","Yes"
"iceger95","q325","No"
"iceger95","q79","Never."
"iceger95","q358077","Yes"
"iceger95","q403","No"
"iceger95","q9688","Yes, but only soft stuff like marijuana"
"iceger95","q87","No"
"iceger95","q49","Carefree"
"iceger95","q76","No"
"iceger95","q997","Both"
"iceger95","q44639","Yes"
"iceger95","q212813","Other"
"iceger95","q77","Sometimes"
"iceger95","q80","I never do drugs."
"iceger95","q179268","No"
"iceger95","q57101","Sexuality."
"iceger95","q18633","No"
"iceger95","q20471","What you want out of a relationship"
"iceger95","q21181","Have them pay the whole bill"
"iceger95","q165644","No physical attraction"
"iceger95","q20135","I'm indifferent / not sure"
"iceger95","q56699","I'm not sure."
"iceger95","q16271","Yes"
"iceger95","q123","Yes"
"iceger95","q1222","Someone who turns you on."
"iceger95","q66506","Somewhat important."
"iceger95","q48260","No."
"iceger95","q36","No"
"iceger95","q50737","Average."
"iceger95","q9522","No"
"iceger95","q13669","No"
"iceger95","q16770","I'd accept it, but not trust them fully."
"iceger95","q19919","Lots of relationships"
"iceger95","q1440","Yes"
"iceger95","q9474","Only if they were willing to give it up"
"iceger95","q153","A really divey bar"
"iceger95","q308","No"
"iceger95","q1128","No, but I don't think it's inherently wrong."
"iceger95","q41953","A few months to a year"
"iceger95","q146","Kissing in Paris"
"iceger95","q19378","Words: Tell them how much you appreciate them"
"iceger95","q577","More than five"
"iceger95","q30207","Yes, a bit."
"iceger95","q41850","Somewhat important."
"iceger95","q68401","Yes."
"iceger95","q6813","Yes"
"iceger95","q149","Passion"
