"d_username","field","value"
"karebear301","d_age","26"
"karebear301","d_city","Belleview"
"karebear301","d_city","United States"
"karebear301","d_orientation","Bisexual"
"karebear301","d_gender","Woman"
"karebear301","d_relationship","Single"
"karebear301","d_bodytype","Curvy"
"karebear301","d_ethnicity","Multi-ethnic"
"karebear301","d_languages","English"
"karebear301","d_education_phase","Attended"
"karebear301","d_education_type","High school"
"karebear301","d_drinks","Often"
"karebear301","d_offspring_current","No kids"
"karebear301","d_offspring_desires","might want kids"
"karebear301","lf_single","single"
"karebear301","lf_min_age","21"
"karebear301","lf_max_age","33"
"karebear301","lf_for","short & long term dating and new friends"
"karebear301","p_conf","-62"
"karebear301","p_wholesome","-74"
"karebear301","q838","No"
"karebear301","q175","Yes"
"karebear301","q29829","Always"
"karebear301","q70","No"
"karebear301","q154","No, it wouldn't."
"karebear301","q12964","No"
"karebear301","q1597","No"
"karebear301","q18530","Not possible"
"karebear301","q24375","3-5 dates"
"karebear301","q12605","Every day"
"karebear301","q48328","Yes."
"karebear301","q87","Yes"
"karebear301","q80","I've done drugs in the past, but no longer."
"karebear301","q325","No"
"karebear301","q62455","Yes."
"karebear301","q501","Yes"
"karebear301","q1112","No"
"karebear301","q23834","Yes"
"karebear301","q49","Intense"
"karebear301","q9688","Yes, but only soft stuff like marijuana"
"karebear301","q18834","Expression"
"karebear301","q79","I smoke occasionally."
"karebear301","q553","Yes"
"karebear301","q358077","Yes"
"karebear301","q403","No"
"karebear301","q997","Both"
"karebear301","q77","Sometimes"
"karebear301","q212813","Other"
"karebear301","q94","Yes"
"karebear301","q15744","Yes"
"karebear301","q44639","Yes"
"karebear301","q426","Yes"
"karebear301","q179268","No"
"karebear301","q48","Weird"
"karebear301","q1766","Yes"
"karebear301","q1815","No"
"karebear301","q149","Passion"
"karebear301","q41953","A few months to a year"
"karebear301","q23543","Yes, unless otherwise specified"
"karebear301","q358014","Yes"
"karebear301","q1440","No"
"karebear301","q123","No"
"karebear301","q358080","Discovering your shared interests"
"karebear301","q12964","No"
"karebear301","q325","No"
"karebear301","q403","No"
"karebear301","q35660","Rarely"
"karebear301","q57","Yes"
"karebear301","q28903","A promising first date"
"karebear301","q416236","Okay"
"karebear301","q46","Good"
"karebear301","q8672","Where"
"karebear301","q60892","Yes."
"karebear301","q358084","Yes"
"karebear301","q20930","Average"
"karebear301","q4018","Yes"
"karebear301","q14835","On my right hand"
