"d_username","field","value"
"krisy_k","d_age","25"
"krisy_k","d_city","Laurel"
"krisy_k","d_city","United States"
"krisy_k","d_orientation","Pansexual"
"krisy_k","d_gender","Woman"
"krisy_k","d_relationship","Single"
"krisy_k","d_bodytype","Fit"
"krisy_k","d_ethnicity","Multi-ethnic"
"krisy_k","d_languages","English"
"krisy_k","d_education_phase","Attended"
"krisy_k","d_education_type","University"
"krisy_k","d_smokes","Never"
"krisy_k","d_drinks","Socially"
"krisy_k","d_offspring_current","No kids"
"krisy_k","d_offspring_desires","Doesn't want kids"
"krisy_k","lf_single","single"
"krisy_k","lf_location","near me"
"krisy_k","lf_min_age","22"
"krisy_k","lf_max_age","40"
"krisy_k","lf_for","short-term dating"
"krisy_k","p_inde","86"
"krisy_k","p_sexdrive","54"
"krisy_k","p_good-natured","22"
"krisy_k","p_oldfash","-64"
"krisy_k","p_conservative","-72"
"krisy_k","q65","No"
"krisy_k","q85835","Starving children."
"krisy_k","q29829","Always"
"krisy_k","q70","No"
"krisy_k","q175","No"
"krisy_k","q612","No, creationism has no place in schools"
"krisy_k","q44384","It's all fine by me."
"krisy_k","q455","No"
"krisy_k","q18797","No, I'd trust them and that would be invasive."
"krisy_k","q24125","No"
"krisy_k","q24375","1-2 dates"
"krisy_k","q35355","I'm open, but I don't get too crazy."
"krisy_k","q12605","Every day"
"krisy_k","q12964","Yes"
"krisy_k","q29384","Allow? I enjoy it."
"krisy_k","q78852","Yes."
"krisy_k","q1401","Yes, and I enjoyed myself."
"krisy_k","q24125","No"
"krisy_k","q41","Not at all important"
"krisy_k","q156913","No"
"krisy_k","q60100","No"
"krisy_k","q612","No, creationism has no place in schools"
"krisy_k","q9688","Yes"
"krisy_k","q997","Cats"
"krisy_k","q221106","Rarely"
"krisy_k","q80","I've done drugs in the past, but no longer."
"krisy_k","q40441","No."
"krisy_k","q501","No"
"krisy_k","q358077","Yes"
"krisy_k","q56","No"
"krisy_k","q20418","Sometimes"
"krisy_k","q23954","Never"
"krisy_k","q221105","I'm a very active user."
"krisy_k","q79","I smoked in the past, but no longer."
"krisy_k","q410","Yes"
"krisy_k","q212814","Very important"
"krisy_k","q325","Yes"
"krisy_k","q18834","Expression"
"krisy_k","q23618","Sort of - I need friends outside of my partner"
"krisy_k","q1062","At least once a day."
"krisy_k","q12970","Twice or more a day"
"krisy_k","q48","Weird"
"krisy_k","q87","No"
"krisy_k","q158","Yes"
"krisy_k","q43261","I consider their opinion but go my own way."
"krisy_k","q442","Bad"
"krisy_k","q212813","Liberal / Left-wing"
"krisy_k","q16713","Yes"
"krisy_k","q179268","No"
"krisy_k","q149","Dedication"
"krisy_k","q170849","Yes. Knowledge is power!"
"krisy_k","q48753","Sometimes - It depends."
"krisy_k","q31581","Sure, no problem."
"krisy_k","q19874","6-12 months"
"krisy_k","q16053","Totally willing!"
"krisy_k","q16295","Foolish"
"krisy_k","q80041","No"
"krisy_k","q18875","Important-ish"
"krisy_k","q41242","It's fine - I don't see any problem."
"krisy_k","q23543","No, it's not necessary"
"krisy_k","q20021","Someone to go out with"
"krisy_k","q20135","I like to just let it happen"
"krisy_k","q52827","No to both"
"krisy_k","q123","No"
"krisy_k","q40650","Sometimes, but not too much."
"krisy_k","q24345","A lot!"
"krisy_k","q55744","This would not be an important factor to me."
"krisy_k","q325","Yes"
"krisy_k","q23618","Sort of - I need friends outside of my partner"
"krisy_k","q12964","Yes"
"krisy_k","q44384","It's all fine by me."
"krisy_k","q15698","I'm indifferent."
"krisy_k","q35660","Rarely"
"krisy_k","q255","89754"
"krisy_k","q46","Interesting"
"krisy_k","q134","No"
"krisy_k","q20725","Sometimes"
"krisy_k","q20930","Average"
"krisy_k","q28903","An important interview"
"krisy_k","q178","The Sun"
"krisy_k","q192","Yes"
"krisy_k","q1099","Yes"
"krisy_k","q1201","46"
