"d_username","field","value"
"martinep","d_age","27"
"martinep","d_city","Beatty"
"martinep","d_city","United States"
"martinep","d_orientation","Bisexual"
"martinep","d_gender","Woman"
"martinep","d_relationship","Single"
"martinep","d_ethnicity","White"
"martinep","d_languages","English"
"martinep","d_education_phase","Attended"
"martinep","d_education_type","University"
"martinep","d_drinks","Socially"
"martinep","lf_min_age","22"
"martinep","lf_max_age","40"
"martinep","lf_for","short & long term dating and new friends"
"martinep","p_sexperienced","86"
"martinep","p_sexdrive","26"
"martinep","p_indie","18"
"martinep","p_trusting","-30"
"martinep","p_conservative","-38"
"martinep","q18797","Only if I suspected them of something."
"martinep","q29829","Always"
"martinep","q838","Yes"
"martinep","q27921","Less safe"
"martinep","q70","No"
"martinep","q48770","No."
"martinep","q154","No, it wouldn't."
"martinep","q84366","No."
"martinep","q66548","It doesn't bother me at all."
"martinep","q46927","No."
"martinep","q35995","I've never discussed my sexual history in this way"
"martinep","q963","No"
"martinep","q81307","Yes."
"martinep","q35","Sex"
"martinep","q45645","No."
"martinep","q35355","I'm open, but I don't get too crazy."
"martinep","q12605","About every other day"
"martinep","q18530","Yes"
"martinep","q12964","Yes"
"martinep","q29843","No, non-sexual is fine."
"martinep","q26525","Yes"
"martinep","q19854","No"
"martinep","q204","the ability to reproduce"
"martinep","q1401","Yes, and I enjoyed myself."
"martinep","q41711","Yes."
"martinep","q637","Yes"
"martinep","q60852","Yes"
"martinep","q49547","Yes."
"martinep","q63165","I'd laugh."
"martinep","q20","Yes"
"martinep","q275","No"
"martinep","q84366","No."
"martinep","q15889","Science"
"martinep","q41","Not at all important"
"martinep","q60100","No"
"martinep","q9688","Yes"
"martinep","q55","Yes"
"martinep","q16713","No"
"martinep","q221106","Sometimes"
"martinep","q31055","No"
"martinep","q40441","Yes."
"martinep","q5417","No"
"martinep","q501","Yes"
"martinep","q22683","No"
"martinep","q49","Intense"
"martinep","q43261","I am my own person."
"martinep","q48325","Very important."
"martinep","q13006","Yes, but only an occasional/social smoker"
"martinep","q1062","At least once a day."
"martinep","q358077","No"
"martinep","q18834","Expression"
"martinep","q23834","Yes"
"martinep","q403","No"
"martinep","q44639","Yes"
"martinep","q77","Sometimes"
"martinep","q553","Yes"
"martinep","q221105","I'm a somewhat active user."
"martinep","q997","Both"
"martinep","q158","Yes"
"martinep","q12970","Twice or more a day"
"martinep","q19737","Yes"
"martinep","q32660","Yes!"
"martinep","q38230","Yes."
"martinep","q41099","Clean-ish but could use a quick touch-up."
"martinep","q1766","Yes"
"martinep","q36654","Land (trains, buses, cars, bikes, feet, etc.)"
"martinep","q48","Weird"
"martinep","q179268","No"
"martinep","q1440","Yes"
"martinep","q170849","Yes. Knowledge is power!"
"martinep","q784","No"
"martinep","q1128","No, but I don't think it's inherently wrong."
"martinep","q41850","Very important."
"martinep","q149","Passion"
"martinep","q16053","Hesitant, but I'd certainly consider it."
"martinep","q18692","No"
"martinep","q23543","Yes, unless otherwise specified"
"martinep","q52682","No."
"martinep","q18875","Very damn important"
"martinep","q20135","I like to just let it happen"
"martinep","q122","A little"
"martinep","q48753","Yes."
"martinep","q165644","Nothing to talk about"
"martinep","q123","No"
"martinep","q24345","A lot!"
"martinep","q33556","No"
"martinep","q55744","This would not be an important factor to me."
"martinep","q60843","I would want them to make their own decision."
"martinep","q26557","Doesn't faze you one bit"
"martinep","q352","Extremely honest"
"martinep","q358080","Discovering your shared interests"
"martinep","q13006","Yes, but only an occasional/social smoker"
"martinep","q403","No"
"martinep","q12964","Yes"
"martinep","q445141","Invisibility"
"martinep","q46","Interesting"
"martinep","q416236","Yay!"
"martinep","q20725","All the time"
"martinep","q20930","Average"
"martinep","q1201","46"
"martinep","q45428","Always."
"martinep","q358084","Yes"
"martinep","q9482","Yes"
"martinep","q211","Yes"
