"d_username","field","value"
"mayalm","d_age","53"
"mayalm","d_city","San Antonio"
"mayalm","d_city","United States"
"mayalm","d_orientation","Bisexual"
"mayalm","d_gender","Woman"
"mayalm","d_relationship","Single"
"mayalm","d_bodytype","Fit"
"mayalm","d_ethnicity","White"
"mayalm","d_languages","English"
"mayalm","d_education_phase","Attended"
"mayalm","d_education_type","Post grad"
"mayalm","d_smokes","Never"
"mayalm","d_drinks","Often"
"mayalm","d_drugs","No"
"mayalm","d_offspring_current","has kid(s)"
"mayalm","d_offspring_desires","Doesn't want kids"
"mayalm","lf_location","near me"
"mayalm","lf_min_age","42"
"mayalm","lf_max_age","84"
"mayalm","lf_for","short & long term dating and new friends"
"mayalm","p_aggressive","96"
"mayalm","p_inde","96"
"mayalm","p_kinky","92"
"mayalm","p_exp","56"
"mayalm","p_spon","56"
"mayalm","p_sexdrive","52"
"mayalm","p_sexperienced","42"
"mayalm","p_trusting","38"
"mayalm","p_adven","22"
"mayalm","p_polite","12"
"mayalm","p_oldfash","-30"
"mayalm","p_indie","-38"
"mayalm","p_sprit","-48"
"mayalm","p_dominant","-54"
"mayalm","p_wholesome","-70"
"mayalm","p_conservative","-70"
"mayalm","p_roman","-98"
"mayalm","q455","Yes"
"mayalm","q17","Yes"
"mayalm","q136","No"
"mayalm","q31877","Admirable and desirable. Chivalry's not dead."
"mayalm","q57694","No."
"mayalm","q175","No"
"mayalm","q838","Yes"
"mayalm","q1250","Yes"
"mayalm","q29829","Whenever possible"
"mayalm","q17017","Never"
"mayalm","q70","No"
"mayalm","q44384","It's all fine by me."
"mayalm","q85835","Neither, they are equally bad."
"mayalm","q18797","No, I'd trust them and that would be invasive."
"mayalm","q37708","Acceptable."
"mayalm","q51774","I approve of hunting for food only."
"mayalm","q19681","No"
"mayalm","q154","No, it wouldn't."
"mayalm","q24125","No"
"mayalm","q84366","No."
"mayalm","q46563","No."
"mayalm","q35203","I'm Not Sure / Depends how serious it was"
"mayalm","q58162","Yes, anything goes."
"mayalm","q30","Yes, lots and lots"
"mayalm","q39714","Yes."
"mayalm","q1263","Yes, because it reflects on them as a person."
"mayalm","q22","No"
"mayalm","q80928","Yes, but it did not change."
"mayalm","q20981","Make me hot."
"mayalm","q63165","I'd think nothing of it."
"mayalm","q83480","Completely shaven."
"mayalm","q7077","Sex"
"mayalm","q45006","Yes."
"mayalm","q1132","Maybe"
"mayalm","q11","Indifferent"
"mayalm","q28","Yes"
"mayalm","q83808","Yes, as the slave only."
"mayalm","q1049","On"
"mayalm","q56606","Very interested."
"mayalm","q60756","Yes, I'd say anything they want me to."
"mayalm","q81807","Yes."
"mayalm","q19891","Arousal"
"mayalm","q20976","No, that's nothing."
"mayalm","q12","Yes"
"mayalm","q41689","I would continue only if satisfied elsewhere."
"mayalm","q36085","Only if we're free to have sex with someone else."
"mayalm","q65937","The fact that I was not invited to join in."
"mayalm","q23993","Very experienced"
"mayalm","q30903","Yes"
"mayalm","q61823","Yes."
"mayalm","q72086","No."
"mayalm","q32","I have tried it."
"mayalm","q12605","About every other day"
"mayalm","q24375","1-2 dates"
"mayalm","q58812","Yes"
"mayalm","q70135","The altar."
"mayalm","q358","No"
"mayalm","q1040","I like it / I think I might like it"
"mayalm","q1387","Yes"
"mayalm","q1597","Yes"
"mayalm","q31374","Yes, on occasion. I have to be in the mood."
"mayalm","q35388","Get a book or video and learn more."
"mayalm","q35","Love"
"mayalm","q309","Yes"
"mayalm","q323","Confident"
"mayalm","q28545","Yes, and hard!"
"mayalm","q463","They take control"
"mayalm","q467","Yes, I'm louder"
"mayalm","q27341","Flattered"
"mayalm","q29384","Allow? I enjoy it."
"mayalm","q35355","Very open. I'll try anything once."
"mayalm","q63114","My sex drive is higher than average."
"mayalm","q64334","Extremely disappointed."
"mayalm","q22419","Curious"
"mayalm","q26367","No"
"mayalm","q26405","Yes, with skill and sometimes patience"
"mayalm","q41554","Yes, and I'd be wearing little more than paint."
"mayalm","q67511","Yes."
"mayalm","q79635","Positive."
"mayalm","q25","Yes"
"mayalm","q29","be tied up during sex"
"mayalm","q1028","I enjoy both equally"
"mayalm","q1435","Yes"
"mayalm","q18530","Yes"
"mayalm","q28918","Yes"
"mayalm","q30169","Love it!"
"mayalm","q61278","Positively."
"mayalm","q227","Yes"
"mayalm","q665","Bring out the toys!"
"mayalm","q18619","Yes"
"mayalm","q38518","Yes."
"mayalm","q42524","Yes."
"mayalm","q50178","Yes."
"mayalm","q64476","Yes."
"mayalm","q348","Receiving massages"
"mayalm","q12964","Yes"
"mayalm","q17808","No"
"mayalm","q50564","Yes."
"mayalm","q324","I disagree."
"mayalm","q1134","Yes"
"mayalm","q6413","No"
"mayalm","q61958","Somewhat enthusiastic."
"mayalm","q64429","No."
"mayalm","q2","more pathetic than cool"
"mayalm","q37892","Yes.  I'd be grateful for the communication."
"mayalm","q53402","No."
"mayalm","q54354","Touch."
"mayalm","q79726","Yes."
"mayalm","q9391","Yes"
"mayalm","q19854","No"
"mayalm","q41711","Yes."
"mayalm","q57731","Yes."
"mayalm","q60726","Yes."
"mayalm","q26","Yes"
"mayalm","q9628","Yes"
"mayalm","q19892","No, I don't have a foot fetish"
"mayalm","q23733","Yes"
"mayalm","q26469","Yes"
"mayalm","q61133","Yes."
"mayalm","q20","Yes"
"mayalm","q1011","Yes"
"mayalm","q1439","Yes"
"mayalm","q14913","No"
"mayalm","q51360","Yes."
"mayalm","q65043","Yes."
"mayalm","q19108","Yes"
"mayalm","q68738","Yes."
"mayalm","q17","Yes"
"mayalm","q19681","No"
"mayalm","q24125","No"
"mayalm","q84366","No."
"mayalm","q41","Not very important"
"mayalm","q61786","No"
"mayalm","q15889","Science"
"mayalm","q18714","Logic/Reason"
"mayalm","q44","False"
"mayalm","q60100","No"
"mayalm","q52789","Humans evolved from other species."
"mayalm","q70135","The altar."
"mayalm","q18663","No"
"mayalm","q35252","Yes - I hate dirt!"
"mayalm","q49803","Occasionally."
"mayalm","q80081","No."
"mayalm","q42282","No."
"mayalm","q77","Very often"
"mayalm","q44639","No"
"mayalm","q58763","No."
"mayalm","q18955","No"
"mayalm","q221106","Rarely"
"mayalm","q466","Yes"
"mayalm","q16497","Artistic (eg. shaped like a lion)"
"mayalm","q19815","Yes, I wouldn't be able to tolerate that."
"mayalm","q158","No"
"mayalm","q913","Dream Job"
"mayalm","q35600","Yes, usually."
"mayalm","q403","Yes"
"mayalm","q23305","More than 10 countries."
"mayalm","q62254","No."
"mayalm","q501","No"
"mayalm","q82566","Yes.  I need it to function."
"mayalm","q9688","Yes, but only soft stuff like marijuana"
"mayalm","q23834","No"
"mayalm","q358077","No"
"mayalm","q49","Intense"
"mayalm","q273","Yes"
"mayalm","q325","Yes"
"mayalm","q338","I'm average"
"mayalm","q43261","I am my own person."
"mayalm","q79","I smoked in the past, but no longer."
"mayalm","q997","Dogs"
"mayalm","q24991","Maybe less mileage"
"mayalm","q13106","I'd consider it."
