"d_username","field","value"
"milton229","d_age","34"
"milton229","d_city","Lancaster"
"milton229","d_city","United States"
"milton229","d_orientation","Bisexual"
"milton229","d_gender","Woman"
"milton229","d_relationship","Single"
"milton229","d_bodytype","Average build"
"milton229","d_languages","English and some Spanish"
"milton229","d_education_phase","Attended"
"milton229","d_education_type","Post grad"
"milton229","d_religion_seriosity","laughing about it"
"milton229","d_smokes","Never"
"milton229","d_drinks","Socially"
"milton229","d_drugs","No"
"milton229","d_offspring_current","No kids"
"milton229","d_offspring_desires","might want kids"
"milton229","lf_min_age","28"
"milton229","lf_max_age","40"
"milton229","lf_for","new friends"
"milton229","p_comp","82"
"milton229","p_adven","72"
"milton229","p_exp","72"
"milton229","p_sexperienced","50"
"milton229","p_playful","44"
"milton229","p_trusting","40"
"milton229","p_law-abiding","30"
"milton229","p_good-natured","12"
"milton229","p_conservative","-22"
"milton229","p_greed","-24"
"milton229","p_wholesome","-28"
"milton229","q85835","Abused animals."
"milton229","q40570","Tactful"
"milton229","q15037","Yes"
"milton229","q9379","No"
"milton229","q39373","Never."
"milton229","q53965","Ignore it."
"milton229","q17","Yes"
"milton229","q29829","Always"
"milton229","q594","Yes, anything can be funny in the right light."
"milton229","q27921","Less safe"
"milton229","q34113","No problem"
"milton229","q39","Yes"
"milton229","q42329","No"
"milton229","q9447","This question upsets me"
"milton229","q65","Yes"
"milton229","q393","No"
"milton229","q1446","Yes, solidarity is important"
"milton229","q15752","Extremely important"
"milton229","q39185","book burning"
"milton229","q152","Yes"
"milton229","q18763","Yes, I always try to do the right thing."
"milton229","q70","No"
"milton229","q455","No"
"milton229","q20016","... something that I actively participate in."
"milton229","q20298","A sign of strength"
"milton229","q85315","Yes."
"milton229","q612","No, creationism has no place in schools"
"milton229","q44384","It's all fine by me."
"milton229","q44854","Yes."
"milton229","q171","Your world"
"milton229","q838","Yes"
"milton229","q24125","No"
"milton229","q46563","No."
"milton229","q46927","No."
"milton229","q154","No, it wouldn't."
"milton229","q8218","No"
"milton229","q9385","Equality"
"milton229","q19748","I have no problem with them. You go girls!"
"milton229","q36790","Yes, unless I am otherwise in a hurry."
"milton229","q71","No"
"milton229","q37708","Acceptable."
"milton229","q47764","Yes."
"milton229","q226","the right to bear arms"
"milton229","q412","Yes"
"milton229","q18797","No, I'd trust them and that would be invasive."
"milton229","q13","No"
"milton229","q14","No"
"milton229","q395","Yes"
"milton229","q15751","Yes"
"milton229","q36804","Cheating on a partner."
"milton229","q84366","No."
"milton229","q61903","Maybe / I don't know"
"milton229","q58162","Yes, anything goes."
"milton229","q18530","No"
"milton229","q1618","Yes"
"milton229","q18691","I'm Not Sure"
"milton229","q21","Yes"
"milton229","q24375","6 or more dates"
"milton229","q12","Yes"
"milton229","q40775","Before/After every new partner"
"milton229","q54150","Yes."
"milton229","q1597","No"
"milton229","q12605","Every day"
"milton229","q45006","No."
"milton229","q65937","The fact that I was not invited to join in."
"milton229","q72086","Yes."
"milton229","q358","No"
"milton229","q63114","My sex drive is higher than average."
"milton229","q392","Yes"
"milton229","q53402","Yes."
"milton229","q81807","No."
"milton229","q309","Yes"
"milton229","q16317","I don't know"
"milton229","q17768","Intercourse"
"milton229","q23993","Very experienced"
"milton229","q30903","Yes"
"milton229","q32","I have tried it."
"milton229","q18758","No"
"milton229","q323","Confident"
"milton229","q20976","That seems like an average number."
"milton229","q27341","Aroused"
"milton229","q30169","Love it!"
"milton229","q83480","Neatly trimmed."
"milton229","q1028","I enjoy both equally"
"milton229","q1049","It's exactly the same to me"
"milton229","q18682","Yes"
"milton229","q29384","Allow? I enjoy it."
"milton229","q83184","Either, depending upon how they sound."
"milton229","q1132","No"
"milton229","q28545","Yes, but gently."
"milton229","q35355","Very open. I'll try anything once."
"milton229","q61958","Somewhat enthusiastic."
"milton229","q64476","Yes."
"milton229","q86417","More than a week."
"milton229","q29","be tied up during sex"
"milton229","q35","Love"
"milton229","q1387","Yes"
"milton229","q19482","Good in moderation, only if something comes of it"
"milton229","q35203","Yes"
"milton229","q35995","No"
"milton229","q64334","Extremely disappointed."
"milton229","q2","more pathetic than cool"
"milton229","q637","Yes"
"milton229","q7273","Yes"
"milton229","q38320","Yes."
"milton229","q38578","Sex is one of my favorite activities."
"milton229","q48347","No"
"milton229","q58829","Yes."
"milton229","q86366","Yes."
"milton229","q12964","Yes"
"milton229","q21527","No"
"milton229","q57717","No."
"milton229","q59469","Yes."
"milton229","q60852","Yes"
"milton229","q1263","No, the past is the past."
"milton229","q1274","Long, slow"
"milton229","q9628","Yes"
"milton229","q56606","Somewhat interested."
"milton229","q69186","Yes."
"milton229","q35276","Just enough to get things right."
"milton229","q1401","Yes, and I enjoyed myself."
"milton229","q49547","Yes."
"milton229","q57718","Cuddling with them."
"milton229","q57731","Yes."
"milton229","q62889","No."
"milton229","q13095","Under the right circumstance, Yes"
"milton229","q14913","No"
"milton229","q19108","Yes"
"milton229","q19854","No"
"milton229","q22706","Yes"
"milton229","q17","Yes"
"milton229","q393","No"
"milton229","q24125","No"
"milton229","q8218","No"
"milton229","q13","No"
"milton229","q395","Yes"
"milton229","q14","No"
"milton229","q84366","No."
"milton229","q48372","Yes"
"milton229","q156917","Yes"
"milton229","q41","Not at all important"
"milton229","q210","No"
"milton229","q156913","No"
"milton229","q20408","Yes, but I don't practice any of these."
"milton229","q656","Worse"
"milton229","q411","Yes"
"milton229","q763","Yes"
"milton229","q60100","No"
"milton229","q612","No, creationism has no place in schools"
"milton229","q47764","Yes."
"milton229","q21754","They're gross/disgusting/insulting/other."
"milton229","q179268","Yes"
"milton229","q18955","No"
"milton229","q44639","No"
"milton229","q80","I've done drugs in the past, but no longer."
"milton229","q9688","No"
"milton229","q83646","Yes."
"milton229","q26573","Sometimes"
"milton229","q53611","Frequently."
"milton229","q403","Yes"
"milton229","q71315","No.  I can't sleep with music on."
"milton229","q13006","Yes, but only an occasional/social smoker"
"milton229","q185","Yes"
"milton229","q375","Yes"
"milton229","q6888","No"
"milton229","q23305","More than 10 countries."
"milton229","q76","Yes"
"milton229","q325","No"
"milton229","q15030","Books"
"milton229","q18834","Expression"
"milton229","q37693","No."
"milton229","q501","No"
"milton229","q273","Yes"
"milton229","q20418","Sometimes"
"milton229","q21411","I love to argue!"
"milton229","q22021","Yes, it's somewhat important."
"milton229","q23618","Very - I need some me time to be happy"
"milton229","q113","Yes"
"milton229","q997","Both"
"milton229","q12796","Yes"
"milton229","q18609","Yes, I'm a culinary genius."
"milton229","q19219","Yes"
"milton229","q358077","No"
"milton229","q44354","I love long camping trips."
"milton229","q212814","Very important"
"milton229","q158","Yes"
"milton229","q51296","Sometimes."
"milton229","q49","Carefree"
"milton229","q1179","Yes"
"milton229","q21175","Yes"
"milton229","q21488","Yeah, when I have the time."
"milton229","q29792","Yes, I love dressing up."
"milton229","q33602","Yes, almost always"
"milton229","q46403","Yes."
"milton229","q77","Sometimes"
"milton229","q6636","Old"
"milton229","q18638","Yeah, I like to read."
"milton229","q27164","No"
"milton229","q42282","Yes."
"milton229","q43261","I consider their opinion but go my own way."
"milton229","q129","No"
"milton229","q220","No"
"milton229","q913","Soul Mate"
"milton229","q27672","Critically important."
"milton229","q38196","I am an urban or city person."
"milton229","q212813","Liberal / Left-wing"
"milton229","q442","Bad"
"milton229","q1062","At least once a day."
"milton229","q12584","Yes"
"milton229","q12970","Twice or more a day"
"milton229","q18759","Usually"
"milton229","q53910","Frequently."
"milton229","q60318","Yes."
"milton229","q1146","Yes"
"milton229","q54695","Somewhat clear."
"milton229","q62140","Sometimes, it depends upon the circumstances."
"milton229","q48","Weird"
