"d_username","field","value"
"moonisonmyside","d_age","23"
"moonisonmyside","d_city","Boston"
"moonisonmyside","d_city","United States"
"moonisonmyside","d_orientation","Pansexual"
"moonisonmyside","d_gender","Woman"
"moonisonmyside","d_relationship","Single"
"moonisonmyside","d_languages","English"
"moonisonmyside","d_drugs","No"
"moonisonmyside","lf_single","single"
"moonisonmyside","lf_location","near me"
"moonisonmyside","lf_min_age","18"
"moonisonmyside","lf_max_age","28"
"moonisonmyside","lf_for","new friends"
"moonisonmyside","p_aggressive","94"
"moonisonmyside","p_kinky","78"
"moonisonmyside","p_sexperienced","64"
"moonisonmyside","p_inde","58"
"moonisonmyside","p_trusting","42"
"moonisonmyside","p_adven","38"
"moonisonmyside","p_sprit","38"
"moonisonmyside","p_sloppy","-22"
"moonisonmyside","p_oldfash","-48"
"moonisonmyside","p_conservative","-48"
"moonisonmyside","p_wholesome","-74"
"moonisonmyside","q218","Yes, absolutely"
"moonisonmyside","q393","No"
"moonisonmyside","q838","Yes"
"moonisonmyside","q39373","Rarely."
"moonisonmyside","q70","No"
"moonisonmyside","q341","Yes"
"moonisonmyside","q18797","No, I'd trust them and that would be invasive."
"moonisonmyside","q57718","Doing my own thing."
"moonisonmyside","q48347","Yes"
"moonisonmyside","q1028","Rough"
"moonisonmyside","q20981","Make me hot."
"moonisonmyside","q1132","Maybe"
"moonisonmyside","q30115","I would."
"moonisonmyside","q45645","No."
"moonisonmyside","q20976","No, that's nothing."
"moonisonmyside","q81807","Yes."
"moonisonmyside","q1597","Yes"
"moonisonmyside","q32","I have tried it."
"moonisonmyside","q309","Yes"
"moonisonmyside","q1040","I like it / I think I might like it"
"moonisonmyside","q29384","Allow? I enjoy it."
"moonisonmyside","q63114","My sex drive is higher than average."
"moonisonmyside","q17732","Yes"
"moonisonmyside","q18966","Hard!"
"moonisonmyside","q21","No"
"moonisonmyside","q18048","Sure, I'd be okay with that."
"moonisonmyside","q35","Love"
"moonisonmyside","q58162","Yes, but only with the living."
"moonisonmyside","q65115","Yes."
"moonisonmyside","q35355","Very open. I'll try anything once."
"moonisonmyside","q463","They take control"
"moonisonmyside","q60726","Yes."
"moonisonmyside","q35203","Yes"
"moonisonmyside","q1401","Yes, and I enjoyed myself."
"moonisonmyside","q637","Yes"
"moonisonmyside","q6040","Yes"
"moonisonmyside","q393","No"
"moonisonmyside","q60100","Yes"
"moonisonmyside","q48372","Yes"
"moonisonmyside","q41","Somewhat important"
"moonisonmyside","q13032","Yes"
"moonisonmyside","q65115","Yes."
"moonisonmyside","q441","Yes"
"moonisonmyside","q21488","Always."
"moonisonmyside","q76","Yes"
"moonisonmyside","q501","No"
"moonisonmyside","q49","Intense"
"moonisonmyside","q16557","Something or someone else / Nothing"
"moonisonmyside","q27164","No"
"moonisonmyside","q358077","No"
"moonisonmyside","q312","Yes"
"moonisonmyside","q325","Yes"
"moonisonmyside","q997","Both"
"moonisonmyside","q56014","Up to one-half."
"moonisonmyside","q15030","Music"
"moonisonmyside","q48857","Yes."
"moonisonmyside","q77","Sometimes"
"moonisonmyside","q12970","Twice or more a day"
"moonisonmyside","q158","Yes"
"moonisonmyside","q436","Yes"
"moonisonmyside","q179268","No"
"moonisonmyside","q44639","Yes"
"moonisonmyside","q1766","Yes"
"moonisonmyside","q82681","Someone attractive and kind."
"moonisonmyside","q48753","Sometimes - It depends."
"moonisonmyside","q31581","Sure, no problem."
"moonisonmyside","q41953","Several years"
"moonisonmyside","q149","Passion"
"moonisonmyside","q9668","Dominant"
"moonisonmyside","q19874","6-12 months"
"moonisonmyside","q20021","Someone to go out with"
"moonisonmyside","q16053","Totally willing!"
"moonisonmyside","q20778","pushes you hard to succeed"
"moonisonmyside","q6258","Yes"
"moonisonmyside","q358014","Yes"
"moonisonmyside","q1440","No"
"moonisonmyside","q20135","I like to just let it happen"
"moonisonmyside","q67418","It's sweet."
"moonisonmyside","q80041","No"
"moonisonmyside","q308","Yes"
"moonisonmyside","q146","Kissing in a tent, in the woods"
"moonisonmyside","q106","No"
"moonisonmyside","q33870","Yes"
"moonisonmyside","q546","Yes"
"moonisonmyside","q325","Yes"
"moonisonmyside","q35203","Yes"
"moonisonmyside","q56014","Up to one-half."
"moonisonmyside","q6109","Nervous"
"moonisonmyside","q20930","Higher than average"
"moonisonmyside","q12498","ignore me"
"moonisonmyside","q20725","Sometimes"
"moonisonmyside","q35660","Usually"
"moonisonmyside","q898","Yes"
"moonisonmyside","q59457","Yes."
"moonisonmyside","q27477","Yes"
