"d_username","field","value"
"mrowquez","d_age","20"
"mrowquez","d_city","Cambridge"
"mrowquez","d_city","United States"
"mrowquez","d_orientation","Queer"
"mrowquez","d_gender","Woman"
"mrowquez","d_relationship","Single"
"mrowquez","d_bodytype","Average build"
"mrowquez","d_languages","English"
"mrowquez","d_education_phase","Working on"
"mrowquez","d_education_type","University"
"mrowquez","d_smokes","Sometimes"
"mrowquez","d_drinks","Socially"
"mrowquez","d_drugs","Sometimes"
"mrowquez","lf_single","single"
"mrowquez","lf_location","near me"
"mrowquez","lf_min_age","18"
"mrowquez","lf_max_age","24"
"mrowquez","lf_for","new friends"
"mrowquez","p_drug","66"
"mrowquez","p_adven","58"
"mrowquez","p_indie","56"
"mrowquez","p_sexperienced","44"
"mrowquez","p_sexdrive","30"
"mrowquez","p_exp","22"
"mrowquez","p_opti","22"
"mrowquez","p_artsy","18"
"mrowquez","p_suave","10"
"mrowquez","p_conservative","-18"
"mrowquez","p_oldfash","-36"
"mrowquez","p_wholesome","-40"
"mrowquez","p_organized","-76"
"mrowquez","q156913","No"
"mrowquez","q210","No"
"mrowquez","q15889","Science"
"mrowquez","q41","Not at all important"
"mrowquez","q48372","No"
"mrowquez","q44","False"
"mrowquez","q763","Yes"
"mrowquez","q20418","No"
"mrowquez","q80","I do drugs occasionally."
"mrowquez","q16713","No"
"mrowquez","q997","Cats"
"mrowquez","q19815","No, I don't mind."
"mrowquez","q31055","No"
"mrowquez","q5417","No"
"mrowquez","q9688","No"
"mrowquez","q94","No"
"mrowquez","q501","Yes"
"mrowquez","q553","No"
"mrowquez","q12796","No"
"mrowquez","q40441","No."
"mrowquez","q56","Yes"
"mrowquez","q325","Yes"
"mrowquez","q15414","Yes, I have used psychedelic drugs."
"mrowquez","q338","I'm average"
"mrowquez","q8155","Once every month or three."
"mrowquez","q13006","Yes"
"mrowquez","q1062","Usually daily. I skip some."
"mrowquez","q15030","Music"
"mrowquez","q358077","No"
"mrowquez","q79","I smoke occasionally."
"mrowquez","q87","No"
"mrowquez","q403","No"
"mrowquez","q1112","Yes"
"mrowquez","q18834","Expression"
"mrowquez","q83646","No."
"mrowquez","q49","Carefree"
"mrowquez","q221105","I'm a very active user."
"mrowquez","q158","Yes"
"mrowquez","q441","No"
"mrowquez","q62254","Yes."
"mrowquez","q67641","Somewhat important."
"mrowquez","q220","No"
"mrowquez","q442","Bad"
"mrowquez","q27164","No"
"mrowquez","q33602","Sometimes"
"mrowquez","q53611","Rarely."
"mrowquez","q77","Sometimes"
"mrowquez","q436","Yes"
"mrowquez","q12970","Twice or more a day"
"mrowquez","q78","Yes"
"mrowquez","q21411","Sometimes."
"mrowquez","q32973","Yes, all the time."
"mrowquez","q62455","No."
"mrowquez","q21488","Yeah, when I have the time."
"mrowquez","q48328","No."
"mrowquez","q221106","Never"
"mrowquez","q27672","Critically important."
"mrowquez","q28831","It varies"
"mrowquez","q44639","Yes"
"mrowquez","q426","Yes"
"mrowquez","q46403","Yes."
"mrowquez","q48","Weird"
"mrowquez","q434","Yes"
"mrowquez","q15744","Yes"
"mrowquez","q35778","Yes."
"mrowquez","q1588","Yes, I would love (or do own) a cat."
"mrowquez","q74","Food"
"mrowquez","q1454","Yes"
"mrowquez","q21175","Yes"
"mrowquez","q179268","No"
"mrowquez","q1766","Yes"
"mrowquez","q17017","Rarely"
"mrowquez","q763","Yes"
"mrowquez","q8054","No"
"mrowquez","q20778","reminds you to be realistic"
"mrowquez","q18692","Yes"
"mrowquez","q149","Dedication"
"mrowquez","q308","No"
"mrowquez","q358014","No"
"mrowquez","q15280","Yes"
"mrowquez","q25228","Yes"
"mrowquez","q19874","0-6 months"
"mrowquez","q67821","Yes."
"mrowquez","q19378","Words: Tell them how much you appreciate them"
"mrowquez","q9668","Dominant"
"mrowquez","q30207","No, it's underrated."
"mrowquez","q41850","Somewhat important."
"mrowquez","q1128","Yes, but only if everybody knew."
"mrowquez","q40194","Somewhat important."
"mrowquez","q784","Yes"
"mrowquez","q16053","Totally willing!"
"mrowquez","q20519","Sometimes. It depends."
"mrowquez","q31840","Embracing / cuddling my partner"
"mrowquez","q22122","A few days"
"mrowquez","q23543","No, it's not necessary"
"mrowquez","q31920","Doesn't matter to me"
"mrowquez","q36045","No way."
"mrowquez","q18875","Very damn important"
"mrowquez","q31581","Not thrilled, but go ahead."
"mrowquez","q122","A little"
"mrowquez","q979","1-2"
"mrowquez","q1440","No"
"mrowquez","q41393","Turn-off. I find easily-confused types annoying."
"mrowquez","q170849","No. Why spoil the mystery?"
"mrowquez","q20021","Someone to go out with"
"mrowquez","q28754","At least 2 years"
"mrowquez","q165644","Nothing to talk about"
"mrowquez","q491","Not enough affection"
"mrowquez","q23293","Crazy and colorful"
"mrowquez","q106","No"
"mrowquez","q146","Kissing in a tent, in the woods"
"mrowquez","q15372","No"
"mrowquez","q30607","Friend, yes. Date, no."
"mrowquez","q48753","Yes."
"mrowquez","q80041","No"
"mrowquez","q6258","Yes"
"mrowquez","q527","No"
"mrowquez","q24345","A lot!"
"mrowquez","q27239","Scary"
"mrowquez","q46856","Complex"
"mrowquez","q26557","Doesn't faze you one bit"
"mrowquez","q34094","Yes"
"mrowquez","q66506","Very important."
"mrowquez","q358080","Discovering your shared interests"
"mrowquez","q325","Yes"
"mrowquez","q9379","Yes, but only with my friend's permission"
"mrowquez","q30903","Yes"
"mrowquez","q403","No"
"mrowquez","q13006","Yes"
"mrowquez","q46403","Yes."
"mrowquez","q12964","Yes"
"mrowquez","q35203","Yes"
"mrowquez","q17","Yes"
"mrowquez","q18594","No"
"mrowquez","q35660","Rarely"
"mrowquez","q27477","No"
"mrowquez","q6155","No"
"mrowquez","q265","Shakespeare"
"mrowquez","q1290","No"
"mrowquez","q1707","Cheerful!  I have a positive outlook."
"mrowquez","q53299","Private."
"mrowquez","q53540","Only some of the time."
"mrowquez","q313640","No"
"mrowquez","q313640","No"
"mrowquez","q63010","No."
"mrowquez","q29032","Visual / Spatial / Artistic"
"mrowquez","q614","something fun?"
"mrowquez","q20930","Higher than average"
"mrowquez","q46","Interesting"
"mrowquez","q57","No"
"mrowquez","q53540","Only some of the time."
"mrowquez","q274","High School"
"mrowquez","q20725","All the time"
"mrowquez","q23696","Never"
"mrowquez","q445141","Flight"
"mrowquez","q134","No"
"mrowquez","q19898","I'm an information sponge"
"mrowquez","q26841","Way more than average"
"mrowquez","q1052","Sometimes"
"mrowquez","q15742","Very little"
"mrowquez","q28903","An important interview"
"mrowquez","q60892","Yes."
"mrowquez","q1099","Yes"
"mrowquez","q15704","I like it or love it."
"mrowquez","q301","No"
"mrowquez","q391","No"
"mrowquez","q27243","Rarely / never"
"mrowquez","q38767","Yes"
"mrowquez","q19265","Nice, but not mandatory"
"mrowquez","q34255","I Like It"
"mrowquez","q59457","Yes."
"mrowquez","q4018","Yes"
"mrowquez","q358084","Yes"
"mrowquez","q45428","Always."
"mrowquez","q178","The Sun"
