"d_username","field","value"
"mysticblueraz","d_age","29"
"mysticblueraz","d_city","La Mirada"
"mysticblueraz","d_city","United States"
"mysticblueraz","d_orientation","Bisexual"
"mysticblueraz","d_gender","Woman"
"mysticblueraz","d_relationship","Single"
"mysticblueraz","d_bodytype","Fit"
"mysticblueraz","d_ethnicity","White"
"mysticblueraz","d_languages","English"
"mysticblueraz","d_education_phase","Attended"
"mysticblueraz","d_education_type","University"
"mysticblueraz","d_drinks","Socially"
"mysticblueraz","d_offspring_current","No kids"
"mysticblueraz","d_offspring_desires","wants kids"
"mysticblueraz","lf_location","near me"
"mysticblueraz","lf_min_age","21"
"mysticblueraz","lf_max_age","45"
"mysticblueraz","lf_for","short & long term dating and new friends"
"mysticblueraz","p_suave","78"
"mysticblueraz","p_outgoing","76"
"mysticblueraz","p_polite","74"
"mysticblueraz","p_good-natured","44"
"mysticblueraz","p_sprit","38"
"mysticblueraz","p_adven","26"
"mysticblueraz","p_trusting","26"
"mysticblueraz","p_sloppy","-14"
"mysticblueraz","p_aggressive","-34"
"mysticblueraz","p_oldfash","-60"
"mysticblueraz","q39373","Never."
"mysticblueraz","q27921","Neither / unsure"
"mysticblueraz","q70","No"
"mysticblueraz","q17017","Never"
"mysticblueraz","q37708","Acceptable."
"mysticblueraz","q887","Usually, yes."
"mysticblueraz","q18797","No, I'd trust them and that would be invasive."
"mysticblueraz","q26525","No"
"mysticblueraz","q19140","Yes"
"mysticblueraz","q323","Confident"
"mysticblueraz","q24375","3-5 dates"
"mysticblueraz","q35","Love"
"mysticblueraz","q12964","Yes"
"mysticblueraz","q18682","Yes"
"mysticblueraz","q1401","Yes, and I enjoyed myself."
"mysticblueraz","q62537","Yes."
"mysticblueraz","q9628","Yes"
"mysticblueraz","q41","Somewhat important"
"mysticblueraz","q60100","No"
"mysticblueraz","q34517","Unsure"
"mysticblueraz","q44639","No"
"mysticblueraz","q87","Yes"
"mysticblueraz","q124","Yes"
"mysticblueraz","q62455","Yes."
"mysticblueraz","q80","I've done drugs in the past, but no longer."
"mysticblueraz","q53611","Frequently."
"mysticblueraz","q501","No"
"mysticblueraz","q37765","Two or more times a week."
"mysticblueraz","q76","Yes"
"mysticblueraz","q365","A lot"
"mysticblueraz","q23305","Between 6 and 10 countries."
"mysticblueraz","q14667","No"
"mysticblueraz","q307","Yes"
"mysticblueraz","q9688","Yes, but only soft stuff like marijuana"
"mysticblueraz","q18212","Over 20%"
"mysticblueraz","q358077","No"
"mysticblueraz","q325","Yes"
"mysticblueraz","q318","Somewhat important"
"mysticblueraz","q38223","Yes, I prefer to go with friends."
"mysticblueraz","q1112","Yes"
"mysticblueraz","q12970","Twice or more a day"
"mysticblueraz","q1062","At least once a day."
"mysticblueraz","q12796","Yes"
"mysticblueraz","q49","Carefree"
"mysticblueraz","q426","Yes"
"mysticblueraz","q553","Yes"
"mysticblueraz","q16713","Yes"
"mysticblueraz","q19011","No"
"mysticblueraz","q77","Sometimes"
"mysticblueraz","q94","Yes"
"mysticblueraz","q442","Bad"
"mysticblueraz","q997","Both"
"mysticblueraz","q13759","No"
"mysticblueraz","q15744","Yes"
"mysticblueraz","q18609","Yes, with a cook book."
"mysticblueraz","q35778","Yes."
"mysticblueraz","q40441","Maybe a little bit."
"mysticblueraz","q48328","No."
"mysticblueraz","q434","Yes"
"mysticblueraz","q1588","Yes, I would love (or do own) a cat."
"mysticblueraz","q2457","No"
"mysticblueraz","q179268","No"
"mysticblueraz","q48","Weird"
"mysticblueraz","q1766","Yes"
"mysticblueraz","q25114","Music Festival"
"mysticblueraz","q19075","Yes"
"mysticblueraz","q887","Usually, yes."
"mysticblueraz","q17017","Never"
"mysticblueraz","q146","Kissing in Paris"
"mysticblueraz","q155","Yes"
"mysticblueraz","q48753","Sometimes - It depends."
"mysticblueraz","q16053","Totally willing!"
"mysticblueraz","q52682","Yes, but only if they were obese."
"mysticblueraz","q308","Yes"
"mysticblueraz","q1440","No"
"mysticblueraz","q106","No"
"mysticblueraz","q605","No"
"mysticblueraz","q48557","No."
"mysticblueraz","q24345","A lot!"
"mysticblueraz","q66506","Very important."
"mysticblueraz","q358080","Discovering your shared interests"
"mysticblueraz","q325","Yes"
"mysticblueraz","q318","Somewhat important"
"mysticblueraz","q12964","Yes"
"mysticblueraz","q14835","On my left hand"
"mysticblueraz","q30271","No"
"mysticblueraz","q20930","Higher than average"
"mysticblueraz","q1052","Rarely"
"mysticblueraz","q26841","Way more than average"
"mysticblueraz","q313640","No"
"mysticblueraz","q57","No"
"mysticblueraz","q60892","Yes."
"mysticblueraz","q536","too cynical"
"mysticblueraz","q50755","Yes."
"mysticblueraz","q4018","Yes"
"mysticblueraz","q16862","Depends"
"mysticblueraz","q19265","Nice, but not mandatory"
"mysticblueraz","q178","The Sun"
"mysticblueraz","q358084","Yes"
"mysticblueraz","q382","No"
