"d_username","field","value"
"rougeriot","d_age","29"
"rougeriot","d_city","Northampton"
"rougeriot","d_city","United States"
"rougeriot","d_orientation","Pansexual"
"rougeriot","d_orientation","Queer"
"rougeriot","d_gender","Woman"
"rougeriot","d_relationship","Single"
"rougeriot","d_bodytype","Curvy"
"rougeriot","d_ethnicity","White"
"rougeriot","d_languages","English and some French"
"rougeriot","d_education_phase","Working on"
"rougeriot","d_education_type","Post grad"
"rougeriot","d_religion_seriosity","laughing about it"
"rougeriot","d_smokes","Sometimes"
"rougeriot","d_drinks","Socially"
"rougeriot","d_drugs","Sometimes"
"rougeriot","d_offspring_current","No kids"
"rougeriot","d_offspring_desires","Doesn't want kids"
"rougeriot","lf_location","near me"
"rougeriot","lf_min_age","24"
"rougeriot","lf_max_age","35"
"rougeriot","lf_for","short & long term dating and new friends"
"rougeriot","p_exp","92"
"rougeriot","p_inde","82"
"rougeriot","p_artsy","76"
"rougeriot","p_kinky","76"
"rougeriot","p_indie","68"
"rougeriot","p_lit","68"
"rougeriot","p_drug","66"
"rougeriot","p_sexdrive","60"
"rougeriot","p_sexperienced","56"
"rougeriot","p_comp","54"
"rougeriot","p_polit","44"
"rougeriot","p_trusting","40"
"rougeriot","p_sloppy","18"
"rougeriot","p_adven","10"
"rougeriot","p_oldfash","-16"
"rougeriot","p_greed","-24"
"rougeriot","p_friendly","-34"
"rougeriot","p_thrift","-50"
"rougeriot","p_roman","-56"
"rougeriot","p_law-abiding","-64"
"rougeriot","p_conservative","-76"
"rougeriot","p_wholesome","-78"
"rougeriot","q15037","Yes"
"rougeriot","q34113","No problem"
"rougeriot","q65","Yes"
"rougeriot","q31821","Yes"
"rougeriot","q393","No"
"rougeriot","q29829","Whenever possible"
"rougeriot","q175","No"
"rougeriot","q594","No, some subjects should not be joked about."
"rougeriot","q9447","This question upsets me"
"rougeriot","q31877","Unnecessary but appreciated."
"rougeriot","q612","No, creationism has no place in schools"
"rougeriot","q39185","book burning"
"rougeriot","q455","No"
"rougeriot","q838","Yes"
"rougeriot","q85835","Neither, they are equally bad."
"rougeriot","q17","No"
"rougeriot","q1446","Yes, solidarity is important"
"rougeriot","q18125","No"
"rougeriot","q19215","Yes"
"rougeriot","q27921","Less safe"
"rougeriot","q213","No"
"rougeriot","q486","Welfare is mostly good"
"rougeriot","q154","No, it wouldn't."
"rougeriot","q214","No"
"rougeriot","q8199","Yes"
"rougeriot","q39147","Yes."
"rougeriot","q66548","It doesn't bother me at all."
"rougeriot","q70","No"
"rougeriot","q71","No"
"rougeriot","q169","Yes"
"rougeriot","q24125","No"
"rougeriot","q359387","Relative"
"rougeriot","q13","No"
"rougeriot","q174","Good"
"rougeriot","q9385","Equality"
"rougeriot","q15751","Yes"
"rougeriot","q20298","A sign of strength"
"rougeriot","q37314","More and better implemented social programs"
"rougeriot","q39373","Rarely."
"rougeriot","q17017","Never"
"rougeriot","q18797","No, I'd trust them and that would be invasive."
"rougeriot","q26684","No"
"rougeriot","q37708","Acceptable."
"rougeriot","q46927","No."
"rougeriot","q40570","Truthful"
"rougeriot","q341","Yes"
"rougeriot","q2781","Yes"
"rougeriot","q201","stop and look"
"rougeriot","q11","Nostalgic"
"rougeriot","q63165","I'd think nothing of it."
"rougeriot","q72318","No."
"rougeriot","q20889","It's hokey and overly sentimental."
"rougeriot","q19140","I'm not sure / Wouldn't know"
"rougeriot","q35276","A lot! It's all about the talk."
"rougeriot","q7077","Sex"
"rougeriot","q35","Sex"
"rougeriot","q21","Yes"
"rougeriot","q35355","I'm open, but I don't get too crazy."
"rougeriot","q58812","No"
"rougeriot","q60756","Yes, I'd say anything they want me to."
"rougeriot","q24375","1-2 dates"
"rougeriot","q64334","Somewhat disappointed."
"rougeriot","q65937","The fact that I was not invited to join in."
"rougeriot","q81376","Casual intimacy with different people."
"rougeriot","q32","I have tried it."
"rougeriot","q54127","Yes, but only rarely."
"rougeriot","q12","Yes"
"rougeriot","q34","Horny"
"rougeriot","q1040","I like it / I think I might like it"
"rougeriot","q1572","Yes"
"rougeriot","q1597","Yes"
"rougeriot","q23993","Very experienced"
"rougeriot","q56606","Somewhat interested."
"rougeriot","q57101","Travel."
"rougeriot","q327","It stays about the same."
"rougeriot","q12605","Every day"
"rougeriot","q12964","Yes"
"rougeriot","q24684","Sometimes"
"rougeriot","q1049","It's exactly the same to me"
"rougeriot","q29384","Allow? I enjoy it."
"rougeriot","q35203","Yes"
"rougeriot","q72735","I'd tease them about it."
"rougeriot","q15565","No"
"rougeriot","q17768","Oral sex"
"rougeriot","q35388","Sign me up for the next class."
"rougeriot","q86366","Yes."
"rougeriot","q7273","Yes"
"rougeriot","q42524","Yes."
"rougeriot","q80928","Yes, and it changed."
"rougeriot","q83184","Turn on."
"rougeriot","q83480","Neatly trimmed."
"rougeriot","q18530","Yes"
"rougeriot","q19446","Yes, and I still do."
"rougeriot","q28742","Yes"
"rougeriot","q30169","Love it!"
"rougeriot","q30903","Yes"
"rougeriot","q40775","Regularly"
"rougeriot","q63114","My sex drive is higher than average."
"rougeriot","q204","the ability to reproduce"
"rougeriot","q323","Confident"
"rougeriot","q324","I disagree."
"rougeriot","q1028","I enjoy both equally"
"rougeriot","q26525","Yes"
"rougeriot","q28545","Yes, but gently."
"rougeriot","q38578","Sex is one of my favorite activities."
"rougeriot","q64476","Yes."
"rougeriot","q321556","A few times a week"
"rougeriot","q15784","No"
"rougeriot","q18682","Yes"
"rougeriot","q21527","No"
"rougeriot","q57718","Cuddling with them."
"rougeriot","q69186","Yes."
"rougeriot","q78852","Yes."
"rougeriot","q29","be tied up during sex"
"rougeriot","q9628","Yes"
"rougeriot","q13095","Under the right circumstance, Yes"
"rougeriot","q26405","Yes, with skill and sometimes patience"
"rougeriot","q27341","Flattered"
"rougeriot","q963","Yes"
"rougeriot","q15355","Yes"
"rougeriot","q19854","No"
"rougeriot","q54354","Touch."
"rougeriot","q61133","Yes."
"rougeriot","q348","Receiving massages"
"rougeriot","q637","Yes"
"rougeriot","q665","Bring out the toys!"
"rougeriot","q1263","No, the past is the past."
"rougeriot","q1401","Yes, and I enjoyed myself."
"rougeriot","q1435","Yes"
"rougeriot","q18822","Sleep"
"rougeriot","q19482","Good in moderation, only if something comes of it"
"rougeriot","q58829","Yes."
"rougeriot","q61903","No"
"rougeriot","q62537","Yes."
"rougeriot","q27","Telling someone you really care"
"rougeriot","q463","They take control"
