"d_username","field","value"
"saltinamajor","d_age","26"
"saltinamajor","d_city","Chicago"
"saltinamajor","d_city","United States"
"saltinamajor","d_orientation","Bisexual"
"saltinamajor","d_gender","Woman"
"saltinamajor","d_relationship","Single"
"saltinamajor","d_bodytype","Average build"
"saltinamajor","d_ethnicity","White"
"saltinamajor","d_languages","English"
"saltinamajor","d_education_phase","Attended"
"saltinamajor","d_education_type","University"
"saltinamajor","d_religion_type","Other religion"
"saltinamajor","d_smokes","Sometimes"
"saltinamajor","d_drinks","Socially"
"saltinamajor","d_drugs","Sometimes"
"saltinamajor","d_offspring_current","No kids"
"saltinamajor","lf_min_age","22"
"saltinamajor","lf_max_age","35"
"saltinamajor","lf_for","short & long term dating and new friends"
"saltinamajor","p_aggressive","92"
"saltinamajor","p_kinky","56"
"saltinamajor","p_trusting","52"
"saltinamajor","p_indie","44"
"saltinamajor","p_artsy","40"
"saltinamajor","p_drug","38"
"saltinamajor","p_sprit","20"
"saltinamajor","p_exp","16"
"saltinamajor","p_wholesome","-20"
"saltinamajor","p_organized","-28"
"saltinamajor","p_oldfash","-32"
"saltinamajor","p_opti","-46"
"saltinamajor","p_polite","-48"
"saltinamajor","p_conservative","-60"
"saltinamajor","q29829","Usually"
"saltinamajor","q39","Yes"
"saltinamajor","q34113","No problem"
"saltinamajor","q136","No"
"saltinamajor","q18763","Sometimes, it depends on the situation."
"saltinamajor","q838","Yes"
"saltinamajor","q39185","book burning"
"saltinamajor","q612","No, creationism has no place in schools"
"saltinamajor","q17017","Never"
"saltinamajor","q359387","Relative"
"saltinamajor","q65","Yes"
"saltinamajor","q70","No"
"saltinamajor","q66548","It doesn't bother me at all."
"saltinamajor","q85835","Neither, they are equally bad."
"saltinamajor","q17","No"
"saltinamajor","q24125","No"
"saltinamajor","q175","No"
"saltinamajor","q154","No, it wouldn't."
"saltinamajor","q226","the right to bear arms"
"saltinamajor","q887","Usually, yes."
"saltinamajor","q40288","Not at all."
"saltinamajor","q46563","No."
"saltinamajor","q18797","No, I'd trust them and that would be invasive."
"saltinamajor","q214","No"
"saltinamajor","q46927","No."
"saltinamajor","q18858","Completely free"
"saltinamajor","q47764","Yes."
"saltinamajor","q61786","Yes"
"saltinamajor","q15889","Equally in both"
"saltinamajor","q48372","Yes"
"saltinamajor","q41","Somewhat important"
"saltinamajor","q210","Yes"
"saltinamajor","q156913","No"
"saltinamajor","q60100","No"
"saltinamajor","q156914","No"
"saltinamajor","q612","No, creationism has no place in schools"
"saltinamajor","q47764","Yes."
"saltinamajor","q179268","Yes"
"saltinamajor","q77","Very often"
"saltinamajor","q80","I do drugs occasionally."
"saltinamajor","q15414","No, I have not used them but I would try them."
"saltinamajor","q234","A lot"
"saltinamajor","q16713","No"
"saltinamajor","q997","Cats"
"saltinamajor","q19815","Yes, I wouldn't be able to tolerate that."
"saltinamajor","q221106","Rarely"
"saltinamajor","q501","Yes"
"saltinamajor","q44354","I like to camp, but not long trips."
"saltinamajor","q53611","Frequently."
"saltinamajor","q403","Yes"
"saltinamajor","q12970","Once a day"
"saltinamajor","q13006","Yes, but only an occasional/social smoker"
"saltinamajor","q20418","Sometimes"
"saltinamajor","q21411","I love to argue!"
"saltinamajor","q358077","Yes"
"saltinamajor","q325","Yes"
"saltinamajor","q9688","Yes, but only soft stuff like marijuana"
"saltinamajor","q56","No"
"saltinamajor","q15030","Books"
"saltinamajor","q23834","No"
"saltinamajor","q79","I smoke occasionally."
"saltinamajor","q221105","I'm a very active user."
"saltinamajor","q1062","Usually daily. I skip some."
