"d_username","field","value"
"spookyspooky","d_age","21"
"spookyspooky","d_city","Chicago"
"spookyspooky","d_city","United States"
"spookyspooky","d_orientation","Bisexual"
"spookyspooky","d_orientation","Pansexual"
"spookyspooky","d_orientation","Queer"
"spookyspooky","d_relationship","Single"
"spookyspooky","d_bodytype","Used up"
"spookyspooky","d_ethnicity","White"
"spookyspooky","d_languages","some English"
"spookyspooky","d_education_phase","Working on"
"spookyspooky","d_education_type","space camp"
"spookyspooky","d_smokes","Regularly"
"spookyspooky","d_drinks","Socially"
"spookyspooky","d_drinks","Often"
"spookyspooky","d_offspring_current","No kids"
"spookyspooky","lf_single","single"
"spookyspooky","lf_min_age","20"
"spookyspooky","lf_max_age","30"
"spookyspooky","lf_for","short & long term dating and casual sex"
"spookyspooky","p_sloppy","92"
"spookyspooky","p_sexperienced","80"
"spookyspooky","p_spon","80"
"spookyspooky","p_artsy","78"
"spookyspooky","p_inde","68"
"spookyspooky","p_drug","66"
"spookyspooky","p_dominant","64"
"spookyspooky","p_exp","60"
"spookyspooky","p_kinky","48"
"spookyspooky","p_aggressive","42"
"spookyspooky","p_indie","40"
"spookyspooky","p_adven","38"
"spookyspooky","p_trusting","34"
"spookyspooky","p_conf","20"
"spookyspooky","p_energetic","18"
"spookyspooky","p_comp","16"
"spookyspooky","p_sexdrive","16"
"spookyspooky","p_roman","-16"
"spookyspooky","p_organized","-40"
"spookyspooky","p_friendly","-56"
"spookyspooky","p_oldfash","-66"
"spookyspooky","p_conservative","-68"
"spookyspooky","p_wholesome","-84"
"spookyspooky","q60100","Yes"
"spookyspooky","q210","No"
"spookyspooky","q41","Not at all important"
"spookyspooky","q156913","No"
"spookyspooky","q15889","Science"
"spookyspooky","q156914","No"
"spookyspooky","q411","Yes"
"spookyspooky","q612","No, creationism has no place in schools"
"spookyspooky","q47764","Yes."
"spookyspooky","q33602","No, it's my right to waste as much as I want"
"spookyspooky","q26052","No; what a geek!"
"spookyspooky","q37893","I don't have any friends."
"spookyspooky","q21488","No, I live in filth."
"spookyspooky","q221106","All the time"
"spookyspooky","q70467","the Black Sea."
"spookyspooky","q1062","A couple times a week."
"spookyspooky","q27527","YES!  And it Worked!"
"spookyspooky","q37764","Daily."
"spookyspooky","q9688","Yes"
"spookyspooky","q32973","On rare occasions/I don't know."
"spookyspooky","q37764","Daily."
"spookyspooky","q55","Yes"
"spookyspooky","q15414","No, I have not used them but I would try them."
"spookyspooky","q8155","Weekly / Bi-Weekly"
"spookyspooky","q18538","It wasn't a 'phase'!"
"spookyspooky","q126","Shitty"
"spookyspooky","q34662","25-50"
"spookyspooky","q66122","Yes."
"spookyspooky","q79","I smoke regularly."
"spookyspooky","q67641","Not important."
"spookyspooky","q458565","Yes"
"spookyspooky","q401","No"
"spookyspooky","q12750","Yes"
"spookyspooky","q31055","No"
"spookyspooky","q44255","No."
"spookyspooky","q68185","No."
"spookyspooky","q82566","Yes.  I need it to function."
"spookyspooky","q403","Yes"
"spookyspooky","q442","Good"
"spookyspooky","q501","Yes"
"spookyspooky","q1730","Yes"
"spookyspooky","q26582","Maybe (if it's still good)"
"spookyspooky","q34517","Yes"
"spookyspooky","q45835","Cloudy"
"spookyspooky","q83646","Yes."
"spookyspooky","q96","Yes"
"spookyspooky","q42640","Yes."
"spookyspooky","q49175","2-4."
"spookyspooky","q913","Dream Job"
"spookyspooky","q12970","Once a day"
"spookyspooky","q26573","Yes"
"spookyspooky","q37765","Two or more times a week."
"spookyspooky","q553","No"
"spookyspooky","q7060","Yes"
"spookyspooky","q20838","Intentionally unruly or unkempt."
"spookyspooky","q358077","Yes"
"spookyspooky","q375","Yes"
"spookyspooky","q417","Yes"
"spookyspooky","q15030","Books"
"spookyspooky","q18212","Over 20%"
"spookyspooky","q27164","No"
"spookyspooky","q212814","Very important"
"spookyspooky","q13006","Yes"
"spookyspooky","q13759","Oui, je fais"
"spookyspooky","q21411","I love to argue!"
"spookyspooky","q37693","Yes, I'd be playing with them."
"spookyspooky","q62254","Yes."
"spookyspooky","q318","Not important at all"
"spookyspooky","q997","Both"
"spookyspooky","q1119","Yes"
"spookyspooky","q18834","Expression"
"spookyspooky","q38423","Nothing."
"spookyspooky","q47005","Either would be equally fine."
"spookyspooky","q51349","No."
"spookyspooky","q221105","I'm a very active user."
"spookyspooky","q56","Yes"
"spookyspooky","q87","No"
"spookyspooky","q1112","Yes"
"spookyspooky","q12796","Yes"
"spookyspooky","q23132","Yes, they're awesome!"
"spookyspooky","q76","No"
"spookyspooky","q325","Yes"
"spookyspooky","q21793","Several times per month."
