"d_username","field","value"
"stubbornpuppet","d_age","27"
"stubbornpuppet","d_city","Wyandotte"
"stubbornpuppet","d_city","United States"
"stubbornpuppet","d_orientation","Bisexual"
"stubbornpuppet","d_gender","Woman"
"stubbornpuppet","d_relationship","Single"
"stubbornpuppet","d_bodytype","Full figured"
"stubbornpuppet","d_ethnicity","White"
"stubbornpuppet","d_languages","English"
"stubbornpuppet","d_education_phase","Attended"
"stubbornpuppet","d_education_type","University"
"stubbornpuppet","d_smokes","Never"
"stubbornpuppet","d_drinks","Socially"
"stubbornpuppet","d_drugs","No"
"stubbornpuppet","d_offspring_current","No kids"
"stubbornpuppet","d_offspring_desires","might want kids"
"stubbornpuppet","lf_location","near me"
"stubbornpuppet","lf_min_age","28"
"stubbornpuppet","lf_max_age","34"
"stubbornpuppet","lf_for","short & long term datin"
"stubbornpuppet","p_inde","80"
"stubbornpuppet","p_sloppy","58"
"stubbornpuppet","p_kinky","52"
"stubbornpuppet","p_trusting","50"
"stubbornpuppet","p_adven","14"
"stubbornpuppet","p_wholesome","-12"
"stubbornpuppet","p_playful","-22"
"stubbornpuppet","p_sprit","-26"
"stubbornpuppet","p_roman","-38"
"stubbornpuppet","p_energetic","-54"
"stubbornpuppet","p_conf","-56"
"stubbornpuppet","p_polite","-68"
"stubbornpuppet","q214","Yes"
"stubbornpuppet","q154","Yes, it would."
"stubbornpuppet","q359387","Universal"
"stubbornpuppet","q48947","Yes."
"stubbornpuppet","q136","No"
"stubbornpuppet","q31821","Maybe"
"stubbornpuppet","q594","Yes, anything can be funny in the right light."
"stubbornpuppet","q9379","No"
"stubbornpuppet","q612","No, creationism has no place in schools"
"stubbornpuppet","q17","No"
"stubbornpuppet","q9447","Fewer stupid people"
"stubbornpuppet","q393","No"
"stubbornpuppet","q486","Welfare is mostly good"
"stubbornpuppet","q15752","Very important"
"stubbornpuppet","q31877","Unnecessary but appreciated."
"stubbornpuppet","q39185","book burning"
"stubbornpuppet","q39373","Rarely."
"stubbornpuppet","q70","No"
"stubbornpuppet","q213","No"
"stubbornpuppet","q17017","Never"
"stubbornpuppet","q18843","No"
"stubbornpuppet","q24125","No"
"stubbornpuppet","q27921","Less safe"
"stubbornpuppet","q37708","Acceptable."
"stubbornpuppet","q66548","It doesn't bother me at all."
"stubbornpuppet","q341","Yes"
"stubbornpuppet","q14","No"
"stubbornpuppet","q174","Good"
"stubbornpuppet","q226","the right to bear arms"
"stubbornpuppet","q13054","I support the laws"
"stubbornpuppet","q13","No"
"stubbornpuppet","q46927","No."
"stubbornpuppet","q1132","Yes"
"stubbornpuppet","q324","I agree."
"stubbornpuppet","q20889","It's hokey and overly sentimental."
"stubbornpuppet","q20212","Sometimes"
"stubbornpuppet","q30903","No"
