"d_username","field","value"
"teresajaywoot","d_age","28"
"teresajaywoot","d_city","Mentor"
"teresajaywoot","d_city","United States"
"teresajaywoot","d_orientation","Bisexual"
"teresajaywoot","d_gender","Woman"
"teresajaywoot","d_relationship","Single"
"teresajaywoot","d_bodytype","Curvy"
"teresajaywoot","d_ethnicity","White"
"teresajaywoot","d_languages","English"
"teresajaywoot","d_education_phase","Attended"
"teresajaywoot","d_education_type","Two-year college"
"teresajaywoot","d_drugs","No"
"teresajaywoot","d_offspring_current","has kid(s)"
"teresajaywoot","lf_single","single"
"teresajaywoot","lf_location","near me"
"teresajaywoot","lf_min_age","23"
"teresajaywoot","lf_max_age","38"
"teresajaywoot","lf_for","short & long term dating and new friends"
"teresajaywoot","p_indie","18"
"teresajaywoot","p_wholesome","-74"
"teresajaywoot","q70","No"
"teresajaywoot","q154","No, it wouldn't."
"teresajaywoot","q1028","Rough"
"teresajaywoot","q35","Love"
"teresajaywoot","q20976","That seems like an average number."
"teresajaywoot","q1132","No"
"teresajaywoot","q24375","3-5 dates"
"teresajaywoot","q86366","Yes."
"teresajaywoot","q26525","Yes"
"teresajaywoot","q9628","Yes"
"teresajaywoot","q9688","Yes, but only soft stuff like marijuana"
"teresajaywoot","q325","No"
"teresajaywoot","q358077","No"
"teresajaywoot","q49","Carefree"
"teresajaywoot","q87","No"
"teresajaywoot","q77","Sometimes"
"teresajaywoot","q997","Both"
"teresajaywoot","q44639","Yes"
"teresajaywoot","q48","Weird"
"teresajaywoot","q179268","No"
"teresajaywoot","q1440","Yes"
"teresajaywoot","q20021","Someone to come home to"
"teresajaywoot","q16053","Totally willing!"
"teresajaywoot","q6258","Yes"
"teresajaywoot","q18","No"
"teresajaywoot","q48753","Yes."
"teresajaywoot","q325","No"
