"d_username","field","value"
"thackery_binx90","d_age","26"
"thackery_binx90","d_city","Denver"
"thackery_binx90","d_city","United States"
"thackery_binx90","d_orientation","Bisexual"
"thackery_binx90","d_gender","Woman"
"thackery_binx90","d_relationship","Single"
"thackery_binx90","d_bodytype","Curvy"
"thackery_binx90","d_ethnicity","White"
"thackery_binx90","d_languages","English"
"thackery_binx90","d_education_phase","Attended"
"thackery_binx90","d_education_type","University"
"thackery_binx90","d_religion_seriosity","laughing about it"
"thackery_binx90","d_smokes","Sometimes"
"thackery_binx90","d_drinks","Socially"
"thackery_binx90","d_drugs","Sometimes"
"thackery_binx90","d_offspring_current","No kids"
"thackery_binx90","d_offspring_desires","Doesn't want kids"
"thackery_binx90","lf_single","single"
"thackery_binx90","lf_location","near me"
"thackery_binx90","lf_min_age","19"
"thackery_binx90","lf_max_age","40"
"thackery_binx90","lf_for","short & long term dating and new friends"
"thackery_binx90","p_sloppy","88"
"thackery_binx90","p_exp","78"
"thackery_binx90","p_conf","74"
"thackery_binx90","p_polit","72"
"thackery_binx90","p_drug","64"
"thackery_binx90","p_indie","52"
"thackery_binx90","p_comp","48"
"thackery_binx90","p_artsy","44"
"thackery_binx90","p_kinky","38"
"thackery_binx90","p_sexperienced","30"
"thackery_binx90","p_adven","24"
"thackery_binx90","p_roman","-12"
"thackery_binx90","p_dominant","-38"
"thackery_binx90","p_oldfash","-60"
"thackery_binx90","p_conservative","-64"
"thackery_binx90","p_wholesome","-72"
"thackery_binx90","p_organized","-74"
"thackery_binx90","q31877","Sexist and insulting; women are perfectly capable."
"thackery_binx90","q13054","I oppose the laws"
"thackery_binx90","q1447","Yes"
"thackery_binx90","q40570","Tactful"
"thackery_binx90","q85315","No."
"thackery_binx90","q85879","Mind Control (control other people's minds)."
"thackery_binx90","q34113","No problem"
"thackery_binx90","q17","Yes"
"thackery_binx90","q45598","Never."
"thackery_binx90","q612","No, creationism has no place in schools"
"thackery_binx90","q9379","No"
"thackery_binx90","q9447","This question upsets me"
"thackery_binx90","q66548","It's ok as long as it isn't every other word."
"thackery_binx90","q65","Yes"
"thackery_binx90","q169","Yes"
"thackery_binx90","q18125","No"
