"d_username","field","value"
"wholelifestory","d_age","26"
"wholelifestory","d_city","Clearwater"
"wholelifestory","d_city","United States"
"wholelifestory","d_orientation","Pansexual"
"wholelifestory","d_gender","Woman"
"wholelifestory","d_relationship","Single"
"wholelifestory","d_bodytype","Average build"
"wholelifestory","d_ethnicity","Multi-ethnic"
"wholelifestory","d_languages","English"
"wholelifestory","d_religion_seriosity","laughing about it"
"wholelifestory","d_smokes","Never"
"wholelifestory","d_drinks","Socially"
"wholelifestory","d_drugs","No"
"wholelifestory","d_offspring_current","No kids"
"wholelifestory","d_offspring_desires","Doesn't want kids"
"wholelifestory","lf_min_age","26"
"wholelifestory","lf_max_age","36"
"wholelifestory","lf_for","short & long term datin"
"wholelifestory","p_sloppy","98"
"wholelifestory","p_conf","58"
"wholelifestory","p_sexdrive","44"
"wholelifestory","p_trusting","40"
"wholelifestory","p_polit","40"
"wholelifestory","p_scien","38"
"wholelifestory","p_nerdy","34"
"wholelifestory","p_aggressive","30"
"wholelifestory","p_math","30"
"wholelifestory","p_rational","16"
"wholelifestory","p_energetic","-14"
"wholelifestory","p_ambi","-34"
"wholelifestory","p_polite","-42"
"wholelifestory","p_good-natured","-44"
"wholelifestory","p_conservative","-44"
"wholelifestory","p_sprit","-46"
"wholelifestory","p_greed","-56"
"wholelifestory","p_organized","-72"
"wholelifestory","p_law-abiding","-78"
"wholelifestory","p_oldfash","-78"
"wholelifestory","p_friendly","-82"
"wholelifestory","p_roman","-86"
"wholelifestory","q31877","Sexist and insulting; women are perfectly capable."
"wholelifestory","q9379","Yes, why not?"
"wholelifestory","q226","the right to vote"
"wholelifestory","q86217","No."
"wholelifestory","q154","Yes, it would."
"wholelifestory","q20298","Neither"
"wholelifestory","q48770","Yes."
"wholelifestory","q368","Yes"
"wholelifestory","q386","Fight them"
"wholelifestory","q85315","No."
"wholelifestory","q25809","No, their right to privacy is too important."
"wholelifestory","q455","Yes"
"wholelifestory","q18858","Have some censorship"
"wholelifestory","q25421","Politics"
"wholelifestory","q46485","Only in some cases."
"wholelifestory","q39373","Sometimes."
"wholelifestory","q51774","I do not approve of hunting at all."
"wholelifestory","q17","Yes"
"wholelifestory","q165","No"
"wholelifestory","q18843","Yes"
"wholelifestory","q34113","No problem"
"wholelifestory","q136","No"
"wholelifestory","q594","No, some subjects should not be joked about."
"wholelifestory","q15752","Not so important"
"wholelifestory","q678","No"
"wholelifestory","q26204","Abort it"
"wholelifestory","q39185","book burning"
"wholelifestory","q49267","No, none of them"
"wholelifestory","q169","Yes"
"wholelifestory","q180","Yes"
"wholelifestory","q9447","This question upsets me"
"wholelifestory","q18979","No, I'd dump them on the spot."
"wholelifestory","q612","No, creationism has no place in schools"
"wholelifestory","q55355","Yes."
"wholelifestory","q18763","Sometimes, it depends on the situation."
"wholelifestory","q53965","Catch it and put it outside."
"wholelifestory","q175","No"
"wholelifestory","q288","Greed"
"wholelifestory","q838","Yes"
"wholelifestory","q19215","Yes"
"wholelifestory","q393","No"
"wholelifestory","q40288","Not at all."
"wholelifestory","q44350","My country's flag."
"wholelifestory","q45598","Sometimes."
"wholelifestory","q53312","Weapons."
"wholelifestory","q70","No"
"wholelifestory","q29829","Whenever possible"
"wholelifestory","q44384","It's all fine by me."
"wholelifestory","q48947","No."
"wholelifestory","q65","Yes"
"wholelifestory","q174","Good"
"wholelifestory","q36790","Yes, unless I am otherwise in a hurry."
"wholelifestory","q46927","No."
"wholelifestory","q359387","Relative"
