"d_username","field","value"
"worm_ball","d_age","23"
"worm_ball","d_city","Brooklyn"
"worm_ball","d_city","United States"
"worm_ball","d_orientation","Bisexual"
"worm_ball","d_gender","Woman"
"worm_ball","d_relationship","Single"
"worm_ball","d_languages","English"
"worm_ball","d_education_phase","Attended"
"worm_ball","d_education_type","University"
"worm_ball","d_smokes","Regularly"
"worm_ball","d_drinks","Often"
"worm_ball","lf_single","single"
"worm_ball","lf_location","near me"
"worm_ball","lf_min_age","21"
"worm_ball","lf_max_age","28"
"worm_ball","lf_for","short-term dating and casual sex"
"worm_ball","p_inde","94"
"worm_ball","p_sexperienced","82"
"worm_ball","p_sloppy","80"
"worm_ball","p_kinky","72"
"worm_ball","p_polit","70"
"worm_ball","p_indie","66"
"worm_ball","p_adven","60"
"worm_ball","p_exp","46"
"worm_ball","p_math","30"
"worm_ball","p_conf","28"
"worm_ball","p_sexdrive","22"
"worm_ball","p_oldfash","-12"
"worm_ball","p_conservative","-48"
"worm_ball","p_wholesome","-74"
"worm_ball","p_friendly","-78"
"worm_ball","p_roman","-82"
"worm_ball","q85835","Starving children."
"worm_ball","q594","No, some subjects should not be joked about."
"worm_ball","q65","Yes"
"worm_ball","q175","No"
"worm_ball","q838","Yes"
"worm_ball","q9447","This question upsets me"
"worm_ball","q39185","book burning"
"worm_ball","q455","No"
"worm_ball","q70","No"
"worm_ball","q293","The premise of this question angers me."
"worm_ball","q214","No"
"worm_ball","q46927","No."
"worm_ball","q18797","No, I'd trust them and that would be invasive."
"worm_ball","q24125","No"
"worm_ball","q47764","Yes."
"worm_ball","q61278","Negatively."
"worm_ball","q26525","Always"
"worm_ball","q1132","Yes"
"worm_ball","q20889","It's hokey and overly sentimental."
"worm_ball","q38320","No."
"worm_ball","q35","Sex"
"worm_ball","q45006","Yes."
"worm_ball","q7077","Sex"
"worm_ball","q48347","Yes"
"worm_ball","q1028","Rough"
"worm_ball","q392","No"
"worm_ball","q54127","Yes, but only rarely."
"worm_ball","q12","Yes"
"worm_ball","q19893","Yes"
"worm_ball","q24375","1-2 dates"
"worm_ball","q26367","Yes"
"worm_ball","q32","I have tried it."
"worm_ball","q538","Yes"
"worm_ball","q20976","That seems like an average number."
"worm_ball","q358","No"
"worm_ball","q1597","Yes"
"worm_ball","q63114","My sex drive is higher than average."
"worm_ball","q83480","It doesn't matter."
"worm_ball","q86184","Sometimes."
"worm_ball","q309","Yes"
"worm_ball","q35355","Very open. I'll try anything once."
"worm_ball","q467","Yes, I'm louder"
"worm_ball","q20212","Never"
"worm_ball","q21527","No"
"worm_ball","q56606","Somewhat interested."
"worm_ball","q83184","Turn on."
"worm_ball","q324","I disagree."
"worm_ball","q28545","Yes, and hard!"
"worm_ball","q53402","No."
"worm_ball","q35203","Yes"
"worm_ball","q37","Under 18"
"worm_ball","q1401","Yes, and I enjoyed myself."
"worm_ball","q51360","Yes."
"worm_ball","q60756","Maybe, it would depend upon the phrase."
"worm_ball","q627","Yes"
"worm_ball","q9628","Yes"
"worm_ball","q637","Yes"
"worm_ball","q1134","Yes"
"worm_ball","q1173","No"
"worm_ball","q35894","Yes"
"worm_ball","q24125","No"
"worm_ball","q60100","Yes"
"worm_ball","q210","No"
"worm_ball","q41","Not at all important"
"worm_ball","q156913","No"
"worm_ball","q48372","No"
"worm_ball","q47764","Yes."
"worm_ball","q1062","A couple times a week."
"worm_ball","q9688","Yes"
"worm_ball","q26582","Yes"
"worm_ball","q179268","Yes"
"worm_ball","q77","Very often"
"worm_ball","q221105","I never use it."
"worm_ball","q80","I do drugs occasionally."
"worm_ball","q19815","No, I don't mind."
"worm_ball","q31055","No"
"worm_ball","q221106","Sometimes"
"worm_ball","q997","Cats"
"worm_ball","q79","I smoke regularly."
"worm_ball","q13100","I'm the one who's always running late."
"worm_ball","q44639","No"
"worm_ball","q501","Yes"
"worm_ball","q553","No"
"worm_ball","q403","Yes"
"worm_ball","q325","Yes"
"worm_ball","q20418","Yes"
"worm_ball","q34517","Yes"
"worm_ball","q358077","Yes"
"worm_ball","q13006","Yes"
"worm_ball","q212814","Very important"
"worm_ball","q87","No"
"worm_ball","q18834","Expression"
"worm_ball","q212813","Liberal / Left-wing"
"worm_ball","q12970","Twice or more a day"
"worm_ball","q126","Average"
"worm_ball","q16713","Yes"
"worm_ball","q40441","Maybe a little bit."
"worm_ball","q48","Weird"
"worm_ball","q74","Food"
"worm_ball","q1766","Yes"
"worm_ball","q28831","It varies"
"worm_ball","q9668","Submissive"
"worm_ball","q23543","No, I'd prefer not to communicate daily"
"worm_ball","q31840","Alone"
"worm_ball","q16295","Creepy"
"worm_ball","q18875","Less important than you think"
