"d_username","field","value"
"xmeepx","d_age","24"
"xmeepx","d_city","New Britain"
"xmeepx","d_city","United States"
"xmeepx","d_orientation","Bisexual"
"xmeepx","d_gender","Woman"
"xmeepx","d_relationship","Single"
"xmeepx","d_bodytype","A little"
"xmeepx","d_ethnicity","White"
"xmeepx","d_languages","English"
"xmeepx","d_religion_type","Other religion"
"xmeepx","d_smokes","Sometimes"
"xmeepx","d_drinks","Socially"
"xmeepx","d_offspring_current","No kids"
"xmeepx","d_offspring_desires","Doesn't want kids"
"xmeepx","lf_single","single"
"xmeepx","lf_min_age","25"
"xmeepx","lf_max_age","35"
"xmeepx","lf_for","new friends"
"xmeepx","p_inde","38"
"xmeepx","p_rational","38"
"xmeepx","p_sloppy","32"
"xmeepx","p_sexdrive","28"
"xmeepx","p_indie","18"
"xmeepx","p_thrift","-12"
"xmeepx","p_sprit","-14"
"xmeepx","p_aggressive","-16"
"xmeepx","p_playful","-28"
"xmeepx","p_oldfash","-32"
"xmeepx","p_polit","-34"
"xmeepx","p_lit","-38"
"xmeepx","p_conservative","-38"
"xmeepx","p_conf","-40"
"xmeepx","p_energetic","-46"
"xmeepx","p_adven","-54"
"xmeepx","p_exp","-64"
"xmeepx","p_outgoing","-72"
"xmeepx","p_opti","-74"
"xmeepx","p_organized","-74"
"xmeepx","p_friendly","-78"
"xmeepx","p_roman","-80"
"xmeepx","q43509","No."
"xmeepx","q24740","No"
"xmeepx","q6542","No"
"xmeepx","q156917","No"
"xmeepx","q6640","No"
"xmeepx","q21729","I don't know/care."
"xmeepx","q54128","Yes."
"xmeepx","q156913","No"
"xmeepx","q61786","No"
"xmeepx","q35281","My family or friends"
"xmeepx","q210","No"
"xmeepx","q15889","Science"
"xmeepx","q48664","No."
"xmeepx","q63068","Zero."
"xmeepx","q41","Not at all important"
"xmeepx","q48372","No"
"xmeepx","q52789","Humans evolved from other species."
"xmeepx","q18714","Logic/Reason"
"xmeepx","q44","False"
"xmeepx","q763","Yes"
"xmeepx","q18708","A method one can follow to make predictions."
"xmeepx","q60100","No"
"xmeepx","q115","Yes"
"xmeepx","q193","No"
"xmeepx","q156915","No"
"xmeepx","q156918","No"
"xmeepx","q411","Yes"
"xmeepx","q36342","We would educate our child to make its own choice."
"xmeepx","q45758","No"
"xmeepx","q612","No, creationism has no place in schools"
"xmeepx","q70135","Neither would bother me at all."
"xmeepx","q47764","Yes."
"xmeepx","q82301","Sex."
"xmeepx","q35379","Exudes overt sexuality"
"xmeepx","q43965","A thief stealing from you"
"xmeepx","q49053","I've never been in a romantic relationship."
"xmeepx","q20121","Perhaps if it were small and difficult to notice."
"xmeepx","q8054","No"
"xmeepx","q22122","A few months"
"xmeepx","q31840","Alone"
"xmeepx","q67418","It's annoying."
"xmeepx","q23147","Agreeing"
"xmeepx","q358080","Discovering their body"
"xmeepx","q352","Extremely hot"
"xmeepx","q60145","No - I've never been in love with a partner."
"xmeepx","q298","A lot more attractive"
"xmeepx","q1187","Usually they break up with me"
"xmeepx","q1222","Someone who turns you on."
"xmeepx","q12949","I'm Not Sure"
"xmeepx","q15063","I don't know"
"xmeepx","q55117","I'd just keep quiet."
"xmeepx","q18","Yes"
"xmeepx","q13086","No"
"xmeepx","q39291","No."
"xmeepx","q50737","Average."
"xmeepx","q148","All-knowing"
"xmeepx","q12503","Never."
"xmeepx","q1440","Yes"
"xmeepx","q14884","I'm Not Sure"
"xmeepx","q18564","I'm Not Sure"
"xmeepx","q41953","Several years"
"xmeepx","q45303","I've never gotten any to keep."
"xmeepx","q4043","I'm Not Sure"
"xmeepx","q13669","No"
"xmeepx","q15280","Yes"
"xmeepx","q84748","No."
"xmeepx","q149","Dedication"
"xmeepx","q153","A really divey bar"
"xmeepx","q19874","0-6 months"
"xmeepx","q82681","Someone attractive and kind."
"xmeepx","q146","Kissing in Paris"
"xmeepx","q491","Not enough space"
"xmeepx","q6946","No"
"xmeepx","q31581","Sure, no problem."
"xmeepx","q34536","Serious relationship, less frequent"
"xmeepx","q36045","Get married no, settle down yes."
"xmeepx","q41850","Somewhat important."
"xmeepx","q54016","Yes."
"xmeepx","q31488","A little, but I would be honest with them."
"xmeepx","q69429","No."
"xmeepx","q7079","No"
"xmeepx","q889","I'd rather be pursued."
"xmeepx","q16371","Are hesitant, but would consider it."
"xmeepx","q25228","No"
"xmeepx","q34679","Remain quiet and open to discussion if requested."
"xmeepx","q360","False"
"xmeepx","q979","None"
"xmeepx","q1128","Yes, but only if everybody knew."
"xmeepx","q19236","Yes"
"xmeepx","q20021","Someone to come home to"
"xmeepx","q20519","Sometimes. It depends."
"xmeepx","q22206","I'm not sure, it depends..."
"xmeepx","q26723","Say hi / shake their hand"
"xmeepx","q37115","Discreetly probe for more information."
"xmeepx","q52827","Yes to both"
"xmeepx","q82128","First dates make me nervous."
"xmeepx","q16053","Hesitant, but I'd certainly consider it."
"xmeepx","q19483","Talk to them occasionally."
"xmeepx","q22125","Average"
"xmeepx","q47799","Sexual compatibility."
"xmeepx","q66544","It doesn't matter to me."
"xmeepx","q75677","Jealousy."
"xmeepx","q784","Yes"
"xmeepx","q1100","No"
"xmeepx","q31920","I prefer someone older"
"xmeepx","q36465","No, I'm busy.  How about another time?"
"xmeepx","q42895","No."
"xmeepx","q44540","No - This would not bother me."
"xmeepx","q86364","I'd show affection and see what happens."
"xmeepx","q1121","No."
"xmeepx","q9668","Balanced"
"xmeepx","q15550","10 years"
"xmeepx","q16295","Foolish"
"xmeepx","q18837","Look away first, or immediately?"
"xmeepx","q19378","Actions: Do something nice (like a date or errand)"
"xmeepx","q23543","No, it's not necessary"
"xmeepx","q28386","It's cool / ok"
"xmeepx","q41242","It's fine - I don't see any problem."
"xmeepx","q41352","Not Important"
"xmeepx","q41393","I'm neutral / it depends on their other traits."
"xmeepx","q61216","One year or shorter."
"xmeepx","q68401","No."
"xmeepx","q366","Dating one person at a time"
"xmeepx","q18875","Very damn important"
"xmeepx","q19919","One true love"
"xmeepx","q23338","Sit and watch to figure out why they like it."
"xmeepx","q30207","No, it's fine."
"xmeepx","q35869","Yes"
"xmeepx","q40194","Somewhat important."
"xmeepx","q66827","I think its corny, but I'll do it anyway!"
"xmeepx","q82778","No preference."
"xmeepx","q294","Having good sex"
"xmeepx","q577","Less than five"
"xmeepx","q6813","No"
"xmeepx","q9522","Yes"
"xmeepx","q28869","Scary"
"xmeepx","q34929","As long as it's not extreme and they ask nicely"
"xmeepx","q39337","Perfume / aftershave / cologne."
"xmeepx","q61666","Somewhat important."
"xmeepx","q67821","No."
"xmeepx","q170849","No. Why spoil the mystery?"
"xmeepx","q358014","Yes"
"xmeepx","q122","A little"
"xmeepx","q9401","A little"
"xmeepx","q18984","Yes, a little."
"xmeepx","q20773","It really doesn't matter..."
"xmeepx","q29389","Almost never, unless explicitly asked about them."
"xmeepx","q37999","Bow out."
"xmeepx","q46566","Less than half of the time."
"xmeepx","q70218","It makes no difference."
"xmeepx","q80041","No"
"xmeepx","q14649","No"
"xmeepx","q18622","I'm not sure, depends on the music"
"xmeepx","q22534","No"
"xmeepx","q22991","No"
"xmeepx","q31014","Never been in that situation."
"xmeepx","q40650","Sometimes, but not too much."
"xmeepx","q45553","I could take them or leave them."
"xmeepx","q48278","Yes."
"xmeepx","q82124","Physical touch."
"xmeepx","q83392","No."
"xmeepx","q1185","Some"
"xmeepx","q6499","flattered / proud"
"xmeepx","q16770","I don't know"
"xmeepx","q20778","pushes you hard to succeed"
"xmeepx","q21181","It doesn't matter to me"
"xmeepx","q25294","Absolutely not."
"xmeepx","q33107","I could be convinced by the right people"
"xmeepx","q35475","None."
"xmeepx","q40944","No."
"xmeepx","q46301","Yes."
"xmeepx","q46856","Complex"
"xmeepx","q48649","No."
"xmeepx","q49107","Musical preferences."
"xmeepx","q53832","Yes."
"xmeepx","q59426","After the relationship was formally terminated."
"xmeepx","q68580","No."
"xmeepx","q85773","Somewhat open, I'd be very cautious."
"xmeepx","q1117","Depends on the illness"
"xmeepx","q1815","Yes"
"xmeepx","q18902","Yes"
"xmeepx","q20471","Jobs, pets, hobbies"
"xmeepx","q23293","Crazy and colorful"
"xmeepx","q24345","A lot!"
"xmeepx","q28754","At least 2 years"
"xmeepx","q33870","Yes"
"xmeepx","q38021","Yes."
"xmeepx","q38115","Yes."
"xmeepx","q55744","This would not be an important factor to me."
"xmeepx","q56699","Sometimes."
"xmeepx","q61680","Yes, but only if my opinion was asked."
"xmeepx","q85813","Yes, as often as I could."
"xmeepx","q165644","Nothing to talk about"
"xmeepx","q357","Coffee and chit-chat"
"xmeepx","q454","Yes"
"xmeepx","q605","No"
"xmeepx","q1202","Sometimes, on special occasions."
"xmeepx","q7042","No"
"xmeepx","q15001","Sympathize and make the relationship grow stronger"
"xmeepx","q18977","Depends on the relationship"
"xmeepx","q20135","I like to just let it happen"
"xmeepx","q24333","No"
"xmeepx","q33593","No"
"xmeepx","q39189","Yes."
"xmeepx","q48021","Yes."
"xmeepx","q48557","No."
"xmeepx","q57381","No."
"xmeepx","q60500","No."
"xmeepx","q60843","I would want them to make their own decision."
"xmeepx","q61570","No."
"xmeepx","q123","No"
"xmeepx","q499","Yes"
"xmeepx","q12822","No"
"xmeepx","q12954","Yes"
"xmeepx","q15372","No"
"xmeepx","q15764","No"
"xmeepx","q16915","Mellow"
"xmeepx","q19690","Yes"
"xmeepx","q26557","Doesn't faze you one bit"
"xmeepx","q29797","Yes"
"xmeepx","q61170","No."
"xmeepx","q66506","Very important."
"xmeepx","q70455","No."
"xmeepx","q80594","Yes."
"xmeepx","q82755","No."
"xmeepx","q106","No"
"xmeepx","q427","No"
"xmeepx","q508","Yes"
"xmeepx","q6258","Yes"
"xmeepx","q9514","makes mistakes often but always admits faults"
"xmeepx","q18692","No"
"xmeepx","q20424","No"
"xmeepx","q26678","Yes"
"xmeepx","q34333","A little of both, depending on the situation"
"xmeepx","q48753","Yes."
"xmeepx","q62890","No."
"xmeepx","q83677","No."
"xmeepx","q156","No"
"xmeepx","q527","No"
"xmeepx","q712","No"
"xmeepx","q19365","Yes"
"xmeepx","q19458","Yes, it's perfectly ok"
"xmeepx","q27239","Scary"
"xmeepx","q28902","Yes"
"xmeepx","q29055","Nothing wrong with that."
"xmeepx","q30392","Yes"
"xmeepx","q41574","No."
"xmeepx","q42791","No, I'm not against it at all / I'd go with them."
"xmeepx","q46091","I'd tell them how I feel and we'd go from there."
"xmeepx","q59456","Yes."
"xmeepx","q61598","No."
"xmeepx","q84910","No."
"xmeepx","q85823","I'd try to look nice."
"xmeepx","q86773","No."
"xmeepx","q114","Yes"
